"Event Date","Event Time","Mill Number","One Minute Mean"
"01/29/2020","19:36:00","1","217"
"01/29/2020","19:36:00","4","136"
"01/29/2020","19:36:00","5","65"
"01/29/2020","19:36:00","6","80"
"01/29/2020","19:36:00","7","33"
"01/29/2020","19:36:00","8","144"
"01/29/2020","19:36:00","10","145"
"01/29/2020","19:36:00","11","73"
"01/29/2020","19:36:00","12","113"
"01/29/2020","19:36:00","13","-3"
"01/29/2020","19:36:00","14","144"
"01/29/2020","19:36:00","15","69"
"01/29/2020","19:36:00","16","131"
"01/29/2020","19:36:00","17","62"
"01/29/2020","19:36:00","18","40"
"01/29/2020","19:36:00","19","80"
"01/29/2020","19:36:00","20","64"
"01/29/2020","19:36:00","21","86"
"01/29/2020","19:36:00","22","73"
"01/29/2020","19:36:00","24","80"
"01/29/2020","19:36:00","27","101"
"01/29/2020","19:36:00","28","127"
"01/29/2020","19:36:00","29","85"
"01/29/2020","19:36:00","30","103"
"01/29/2020","19:36:00","31","104"
"01/29/2020","19:36:00","32","61"
"01/29/2020","19:37:00","1","216"
"01/29/2020","19:37:00","4","135"
"01/29/2020","19:37:00","5","69"
"01/29/2020","19:37:00","6","78"
"01/29/2020","19:37:00","7","45"
"01/29/2020","19:37:00","8","132"
"01/29/2020","19:37:00","10","106"
"01/29/2020","19:37:00","11","67"
"01/29/2020","19:37:00","12","115"
"01/29/2020","19:37:00","13","-3"
"01/29/2020","19:37:00","14","144"
"01/29/2020","19:37:00","15","74"
"01/29/2020","19:37:00","16","127"
"01/29/2020","19:37:00","17","67"
"01/29/2020","19:37:00","18","41"
"01/29/2020","19:37:00","19","76"
"01/29/2020","19:37:00","20","59"
"01/29/2020","19:37:00","21","85"
"01/29/2020","19:37:00","22","75"
"01/29/2020","19:37:00","24","85"
"01/29/2020","19:37:00","27","102"
"01/29/2020","19:37:00","28","149"
"01/29/2020","19:37:00","29","97"
"01/29/2020","19:37:00","30","114"
"01/29/2020","19:37:00","31","113"
"01/29/2020","19:37:00","32","59"
"01/29/2020","19:38:00","1","214"
"01/29/2020","19:38:00","4","142"
"01/29/2020","19:38:00","5","64"
"01/29/2020","19:38:00","6","76"
"01/29/2020","19:38:00","7","45"
"01/29/2020","19:38:00","8","129"
"01/29/2020","19:38:00","10","93"
"01/29/2020","19:38:00","11","69"
"01/29/2020","19:38:00","12","120"
"01/29/2020","19:38:00","13","-3"
"01/29/2020","19:38:00","14","133"
"01/29/2020","19:38:00","15","78"
"01/29/2020","19:38:00","16","112"
"01/29/2020","19:38:00","17","63"
"01/29/2020","19:38:00","18","31"
"01/29/2020","19:38:00","19","73"
"01/29/2020","19:38:00","20","58"
"01/29/2020","19:38:00","21","93"
"01/29/2020","19:38:00","22","76"
"01/29/2020","19:38:00","24","87"
"01/29/2020","19:38:00","27","104"
"01/29/2020","19:38:00","28","146"
"01/29/2020","19:38:00","29","91"
"01/29/2020","19:38:00","30","113"
"01/29/2020","19:38:00","31","95"
"01/29/2020","19:38:00","32","58"
"01/29/2020","19:39:00","1","206"
"01/29/2020","19:39:00","4","153"
"01/29/2020","19:39:00","5","59"
"01/29/2020","19:39:00","6","64"
"01/29/2020","19:39:00","7","70"
"01/29/2020","19:39:00","8","123"
"01/29/2020","19:39:00","10","77"
"01/29/2020","19:39:00","11","58"
"01/29/2020","19:39:00","12","115"
"01/29/2020","19:39:00","13","-3"
"01/29/2020","19:39:00","14","126"
"01/29/2020","19:39:00","15","76"
"01/29/2020","19:39:00","16","111"
"01/29/2020","19:39:00","17","67"
"01/29/2020","19:39:00","18","32"
"01/29/2020","19:39:00","19","78"
"01/29/2020","19:39:00","20","61"
"01/29/2020","19:39:00","21","94"
"01/29/2020","19:39:00","22","78"
"01/29/2020","19:39:00","24","97"
"01/29/2020","19:39:00","27","97"
"01/29/2020","19:39:00","28","144"
"01/29/2020","19:39:00","29","81"
"01/29/2020","19:39:00","30","112"
"01/29/2020","19:39:00","31","104"
"01/29/2020","19:39:00","32","64"
"01/29/2020","19:40:00","1","208"
"01/29/2020","19:40:00","4","159"
"01/29/2020","19:40:00","5","58"
"01/29/2020","19:40:00","6","58"
"01/29/2020","19:40:00","7","45"
"01/29/2020","19:40:00","8","129"
"01/29/2020","19:40:00","10","86"
"01/29/2020","19:40:00","11","45"
"01/29/2020","19:40:00","12","104"
"01/29/2020","19:40:00","13","-3"
"01/29/2020","19:40:00","14","149"
"01/29/2020","19:40:00","15","72"
"01/29/2020","19:40:00","16","114"
"01/29/2020","19:40:00","17","61"
"01/29/2020","19:40:00","18","21"
"01/29/2020","19:40:00","19","86"
"01/29/2020","19:40:00","20","63"
"01/29/2020","19:40:00","21","88"
"01/29/2020","19:40:00","22","83"
"01/29/2020","19:40:00","24","95"
"01/29/2020","19:40:00","27","98"
"01/29/2020","19:40:00","28","140"
"01/29/2020","19:40:00","29","93"
"01/29/2020","19:40:00","30","107"
"01/29/2020","19:40:00","31","100"
"01/29/2020","19:40:00","32","64"
"01/29/2020","19:41:00","1","212"
"01/29/2020","19:41:00","4","161"
"01/29/2020","19:41:00","5","55"
"01/29/2020","19:41:00","6","57"
"01/29/2020","19:41:00","7","37"
"01/29/2020","19:41:00","8","140"
"01/29/2020","19:41:00","10","92"
"01/29/2020","19:41:00","11","39"
"01/29/2020","19:41:00","12","106"
"01/29/2020","19:41:00","13","-3"
"01/29/2020","19:41:00","14","149"
"01/29/2020","19:41:00","15","67"
"01/29/2020","19:41:00","16","104"
"01/29/2020","19:41:00","17","70"
"01/29/2020","19:41:00","18","20"
"01/29/2020","19:41:00","19","89"
"01/29/2020","19:41:00","20","61"
"01/29/2020","19:41:00","21","92"
"01/29/2020","19:41:00","22","76"
"01/29/2020","19:41:00","24","96"
"01/29/2020","19:41:00","27","107"
"01/29/2020","19:41:00","28","134"
"01/29/2020","19:41:00","29","87"
"01/29/2020","19:41:00","30","112"
"01/29/2020","19:41:00","31","98"
"01/29/2020","19:41:00","32","69"
"01/29/2020","19:42:00","1","212"
"01/29/2020","19:42:00","4","138"
"01/29/2020","19:42:00","5","52"
"01/29/2020","19:42:00","6","55"
"01/29/2020","19:42:00","7","44"
"01/29/2020","19:42:00","8","129"
"01/29/2020","19:42:00","10","86"
"01/29/2020","19:42:00","11","36"
"01/29/2020","19:42:00","12","95"
"01/29/2020","19:42:00","13","-3"
"01/29/2020","19:42:00","14","120"
"01/29/2020","19:42:00","15","61"
