"Julian Date","Event Date","Event Time","Altitude","Wind Direction","Wind Speed","Wind Shear","Temperature","Dew Point","Pressure","Relative Humidity","AbsoluteHumidity","Density","IndexOfRefraction","VelocityOfSound","SaturationVaporPressure","PrecipitableWater"
"22170","06/19/2022","01:30:00","16","250","5.0","0.000","23.9","21.8","1012.40","88","19.05","1175.74","375","675","26.11","0"
"22170","06/19/2022","01:30:00","1000","278","9.7","0.010","28.8","14.4","978.66","41","11.74","1121.99","318","679","16.36","5"
"22170","06/19/2022","01:30:00","2000","301","7.1","0.007","27.4","14.2","945.70","44","11.69","1089.08","311","678","16.21","8"
"22170","06/19/2022","01:30:00","3000","291","3.6","0.006","24.6","17.9","913.67","67","14.97","1059.91","325","676","20.57","13"
"22170","06/19/2022","01:30:00","4000","357","3.8","0.007","22.7","14.9","882.49","61","12.39","1031.63","304","673","16.92","17"
"22170","06/19/2022","01:30:00","5000","10","6.4","0.005","20.4","12.1","852.13","59","10.41","1004.95","286","670","14.10","21"
"22170","06/19/2022","01:30:00","6000","5","6.1","0.001","17.9","10.2","822.57","61","9.27","978.94","274","667","12.45","24"
"22170","06/19/2022","01:30:00","7000","11","9.1","0.005","15.4","9.0","793.77","66","8.64","953.09","265","664","11.50","26"
"22170","06/19/2022","01:30:00","8000","358","9.1","0.003","13.8","4.8","765.78","55","6.51","925.75","246","662","8.62","29"
"22170","06/19/2022","01:30:00","9000","355","8.8","0.001","11.4","5.2","738.57","66","6.76","900.13","242","659","8.87","31"
"22170","06/19/2022","01:30:00","10000","348","10.4","0.003","9.0","5.2","712.11","77","6.79","875.13","237","656","8.84","33"
"22170","06/19/2022","01:30:00","11000","344","13.5","0.005","7.2","2.0","686.41","70","5.46","849.65","224","654","7.06","34"
"22170","06/19/2022","01:30:00","12000","358","17.5","0.009","5.7","-1.0","661.48","62","4.40","823.73","211","652","5.66","36"
"22170","06/19/2022","01:30:00","13000","12","17.7","0.007","3.6","-4.0","637.29","58","3.57","800.06","201","649","4.56","37"
"22170","06/19/2022","01:30:00","14000","6","16.7","0.004","1.8","-13.5","613.79","31","1.69","776.69","184","647","2.15","38"
"22170","06/19/2022","01:30:00","15000","0","10.7","0.010","0.2","-10.6","591.01","44","2.16","751.92","181","645","2.73","38"
"22170","06/19/2022","01:30:00","16000","1","10.8","0.000","-2.4","-6.4","568.93","74","3.03","730.22","182","642","3.78","39"
"22170","06/19/2022","01:30:00","17000","2","11.2","0.001","-3.6","-5.8","547.54","85","3.19","705.73","178","641","3.97","40"
"22170","06/19/2022","01:30:00","18000","10","12.9","0.004","-5.3","-11.9","526.86","60","1.99","684.05","165","639","2.46","41"
"22170","06/19/2022","01:30:00","19000","22","10.7","0.006","-6.6","-16.2","506.83","46","1.40","661.57","157","637","1.72","41"
"22170","06/19/2022","01:30:00","20000","34","9.1","0.005","-7.7","-14.3","487.47","59","1.64","638.76","153","636","2.01","42"
"22170","06/19/2022","01:30:00","21000","357","7.8","0.009","-10.0","-13.7","468.74","74","1.75","619.49","150","633","2.13","42"
"22170","06/19/2022","01:30:00","22000","334","9.9","0.007","-11.8","-15.1","450.60","76","1.56","599.69","144","631","1.89","43"
"22170","06/19/2022","01:30:00","23000","350","16.5","0.013","-14.0","-17.6","433.01","74","1.28","581.32","138","628","1.53","43"
"22170","06/19/2022","01:30:00","24000","324","12.2","0.013","-15.6","-19.3","416.01","73","1.11","562.05","133","626","1.32","44"
"22170","06/19/2022","01:30:00","25000","319","11.9","0.002","-17.8","-22.0","399.54","70","0.89","544.56","127","623","1.05","44"
"22170","06/19/2022","01:30:00","26000","333","8.3","0.007","-19.4","-26.2","383.61","55","0.61","526.30","121","621","0.72","44"
"22170","06/19/2022","01:30:00","27000","327","7.8","0.002","-21.6","-25.7","368.21","69","0.64","509.55","118","618","0.75","44"
"22170","06/19/2022","01:30:00","28000","319","10.4","0.005","-23.4","-28.5","353.31","63","0.50","492.54","113","616","0.58","44"
"22170","06/19/2022","01:30:00","29000","318","17.8","0.012","-25.4","-31.0","338.90","59","0.40","476.31","109","614","0.46","45"
"22170","06/19/2022","01:30:00","30000","310","14.9","0.006","-27.7","-32.8","324.97","61","0.34","461.04","105","611","0.38","45"
