"Event Date","Event Time","Altitude","Wind Direction","Wind Speed","Wind Shear","WW","S1","S2","S3","N1","N2","N3","WID1","WID2","WID3","G1","G2","QC"
"12/13/2020","13:34:00","1869","221","4.7","0.000","0.02","120.7","122.2","121.5","57.9","58.1","58.0","0.80","0.40","0.57","0","0","1"
"12/13/2020","13:34:00","2019","240","4.8","0.010","-0.13","125.8","126.3","126.1","63.1","64.2","63.7","1.00","0.50","0.75","0","0","1"
"12/13/2020","13:34:00","2168","218","4.5","0.012","0.03","126.2","125.1","125.6","58.3","58.4","58.3","0.80","0.40","0.59","0","0","1"
"12/13/2020","13:34:00","2318","251","5.4","0.019","-0.04","132.4","132.7","132.6","63.7","64.5","64.1","0.90","0.50","0.69","0","0","1"
"12/13/2020","13:34:00","2467","244","4.5","0.007","0.08","121.5","122.0","121.8","59.6","59.5","59.6","1.60","0.60","1.12","0","0","1"
"12/13/2020","13:34:00","2617","249","5.5","0.007","0.01","120.7","119.5","120.2","64.0","64.9","64.5","1.00","0.40","0.70","0","0","1"
"12/13/2020","13:34:00","2766","310","6.3","0.040","-0.06","105.5","101.5","104.0","60.7","60.6","60.7","0.40","0.40","0.42","0","0","1"
"12/13/2020","13:34:00","2915","305","4.8","0.010","0.04","116.2","117.0","116.6","60.1","59.4","59.7","0.40","0.40","0.41","0","0","1"
"12/13/2020","13:34:00","3065","287","4.3","0.010","0.01","119.1","119.5","119.3","60.0","59.4","59.7","0.40","0.70","0.55","0","0","1"
"12/13/2020","13:34:00","3214","286","5.3","0.007","-0.03","110.1","110.7","110.4","60.0","59.5","59.7","0.60","0.60","0.60","0","0","1"
"12/13/2020","13:34:00","3364","282","6.1","0.006","0.10","114.4","115.6","115.0","60.0","59.3","59.7","0.50","0.50","0.50","0","0","1"
"12/13/2020","13:34:00","3513","255","5.7","0.018","0.05","110.8","112.5","111.7","60.0","59.4","59.7","0.40","0.30","0.38","0","0","1"
"12/13/2020","13:34:00","3663","255","6.7","0.007","0.02","109.1","111.4","110.4","60.0","59.4","59.7","0.30","0.30","0.28","0","0","1"
"12/13/2020","13:34:00","3812","256","6.6","0.001","0.00","116.3","107.1","113.8","60.0","59.4","59.7","0.30","0.30","0.31","0","0","1"
"12/13/2020","13:34:00","3962","253","6.7","0.002","-0.02","123.0","117.0","121.0","60.0","59.4","59.7","0.30","0.30","0.30","0","0","1"
"12/13/2020","13:34:00","4111","252","6.9","0.002","0.01","123.8","121.7","122.9","60.0","59.4","59.7","0.30","0.30","0.31","0","0","1"
"12/13/2020","13:34:00","4261","248","7.0","0.004","-0.04","121.1","119.4","120.3","60.0","59.4","59.7","0.30","0.30","0.31","0","0","1"
"12/13/2020","13:34:00","4410","244","8.7","0.012","-0.11","117.7","113.1","116.0","60.0","59.3","59.7","0.50","0.50","0.49","0","0","1"
"12/13/2020","13:34:00","4559","247","10.0","0.009","-0.15","116.7","114.3","115.7","60.1","59.4","59.8","0.40","0.30","0.34","0","0","1"
"12/13/2020","13:34:00","4709","245","10.6","0.005","-0.12","110.7","107.9","109.5","60.0","59.4","59.7","0.40","0.30","0.34","0","0","1"
"12/13/2020","13:34:00","4858","243","11.8","0.008","-0.02","102.5","101.5","102.0","60.0","59.4","59.7","0.50","0.40","0.47","0","0","1"
"12/13/2020","13:34:00","5008","255","12.5","0.016","0.01","108.3","106.8","107.6","60.0","59.4","59.7","0.40","0.40","0.39","0","0","1"
"12/13/2020","13:34:00","5157","255","13.2","0.005","-0.05","108.0","106.7","107.4","60.0","59.4","59.7","0.40","0.40","0.44","0","0","1"
"12/13/2020","13:34:00","5307","254","14.4","0.008","-0.02","107.7","108.8","108.3","60.0","59.4","59.7","0.40","0.40","0.41","0","0","1"
"12/13/2020","13:34:00","5456","256","14.7","0.004","-0.02","108.9","109.5","109.2","60.0","59.4","59.7","0.40","0.40","0.42","0","0","1"
"12/13/2020","13:34:00","5606","256","15.5","0.005","-0.04","105.0","104.2","104.6","60.0","59.4","59.7","0.40","0.50","0.44","0","0","1"
