"Julian Date","Event Date","Event Time","Altitude","Wind Direction","Wind Speed","Wind Shear","Temperature","Dew Point","Pressure","Relative Humidity","AbsoluteHumidity","Density","IndexOfRefraction","VelocityOfSound","SaturationVaporPressure","PrecipitableWater"
"21047","02/16/2021","00:29:00","21000","227","57.9","0.010","-13.9","-40.4","464.48","9","0.15","624.08","140","628","0.18","47"
"21047","02/16/2021","00:29:00","22000","225","57.6","0.002","-16.1","-40.7","446.20","10","0.14","604.65","136","625","0.17","47"
"21047","02/16/2021","00:29:00","23000","225","56.0","0.003","-17.6","-44.4","428.50","8","0.10","584.10","131","623","0.11","47"
"21047","02/16/2021","00:29:00","24000","223","63.2","0.013","-19.0","-26.8","411.42","50","0.58","563.60","130","622","0.68","48"
"21047","02/16/2021","00:29:00","25000","217","72.5","0.019","-20.6","-52.5","394.92","4","0.04","544.75","122","619","0.04","48"
"21047","02/16/2021","00:29:00","26000","224","68.9","0.015","-23.1","-52.8","378.96","5","0.04","527.97","118","616","0.04","48"
"21047","02/16/2021","00:29:00","27000","229","65.3","0.013","-26.0","-52.9","363.49","6","0.04","512.35","114","613","0.04","48"
"21047","02/16/2021","00:29:00","28000","232","62.8","0.006","-28.6","-53.7","348.48","7","0.03","496.42","111","610","0.04","48"
"21047","02/16/2021","00:29:00","29000","235","61.2","0.006","-30.5","-45.9","333.99","20","0.09","479.46","107","607","0.10","48"
"21047","02/16/2021","00:29:00","30000","239","58.5","0.009","-33.1","-42.6","319.95","38","0.13","464.26","104","604","0.14","48"
"21047","02/16/2021","00:29:00","31000","246","59.9","0.012","-35.3","-40.3","306.38","60","0.16","448.65","101","601","0.18","48"
"21047","02/16/2021","00:29:00","32000","252","58.2","0.012","-36.9","-39.9","293.29","73","0.17","432.39","98","599","0.19","48"
"21047","02/16/2021","00:29:00","33000","256","64.5","0.012","-38.8","-47.1","280.67","41","0.08","417.18","94","597","0.09","48"
"21047","02/16/2021","00:29:00","34000","257","68.6","0.007","-41.5","-48.7","268.46","45","0.07","403.70","90","593","0.07","48"
"21047","02/16/2021","00:29:00","35000","255","70.3","0.004","-44.4","-49.3","256.65","58","0.06","390.83","88","590","0.07","48"
"21047","02/16/2021","00:29:00","36000","250","78.8","0.019","-46.6","-50.6","245.23","63","0.05","377.07","84","587","0.06","48"
"21047","02/16/2021","00:29:00","37000","244","85.0","0.018","-48.2","-59.0","234.23","27","0.02","362.74","81","585","0.02","48"
"21047","02/16/2021","00:29:00","38000","236","94.5","0.026","-50.3","-60.7","223.64","27","0.02","349.61","78","582","0.02","48"
"21047","02/16/2021","00:29:00","39000","234","96.7","0.007","-50.7","-68.5","213.46","10","0.01","334.30","75","581","0.01","48"
"21047","02/16/2021","00:29:00","40000","235","97.8","0.003","-48.1","-71.4","203.80","5","0.00","315.49","70","585","0.00","48"
"21047","02/16/2021","00:29:00","41000","235","90.8","0.012","-49.5","-74.7","194.61","3","0.00","303.14","68","583","0.00","48"
"21047","02/16/2021","00:29:00","42000","230","85.0","0.015","-50.5","-72.8","185.79","5","0.00","290.71","65","582","0.00","48"
"21047","02/16/2021","00:29:00","43000","230","81.7","0.006","-53.4","-75.9","177.30","5","0.00","281.08","63","578","0.00","48"
"21047","02/16/2021","00:29:00","44000","224","78.0","0.016","-55.2","-78.6","169.11","4","0.00","270.30","60","575","0.00","48"
"21047","02/16/2021","00:29:00","45000","218","79.1","0.014","-58.0","-81.5","161.22","3","0.00","261.05","58","572","0.00",""
"21047","02/16/2021","00:29:00","46000","218","80.6","0.003","-61.0","","153.60","","","252.23","56","568","0.00",""
"21047","02/16/2021","00:29:00","47000","210","75.3","0.020","-63.1","","146.25","","","242.56","54","565","0.00",""
"21047","02/16/2021","00:29:00","48000","212","73.7","0.006","-64.9","","139.20","","","232.87","52","563","0.00",""
"21047","02/16/2021","00:29:00","49000","216","72.9","0.008","-67.7","","132.41","","","224.53","50","559","0.00",""
"21047","02/16/2021","00:29:00","50000","222","72.4","0.013","-70.0","","125.87","","","215.86","48","556","0.00",""
"21047","02/16/2021","00:29:00","51000","220","70.0","0.006","-71.9","","119.59","","","207.03","46","553","0.00",""
"21047","02/16/2021","00:29:00","52000","214","67.7","0.013","-74.2","","113.57","","","198.87","44","550","0.00",""
"21047","02/16/2021","00:29:00","53000","220","64.3","0.014","-74.8","","107.82","","","189.37","42","549","0.00",""
"21047","02/16/2021","00:29:00","54000","223","72.2","0.014","-75.7","","102.33","","","180.54","40","548","0.00",""
"21047","02/16/2021","00:29:00","55000","220","64.4","0.014","-73.5","","97.13","","","169.49","38","551","0.00",""
"21047","02/16/2021","00:29:00","56000","214","49.4","0.028","-73.6","","92.24","","","161.03","36","551","0.00",""
"21047","02/16/2021","00:29:00","57000","199","49.1","0.021","-75.5","","87.56","","","154.34","34","548","0.00",""
"21047","02/16/2021","00:29:00","58000","205","52.0","0.010","-77.6","","83.07","","","148.00","33","545","0.00",""
"21047","02/16/2021","00:29:00","59000","203","51.2","0.004","-79.0","","78.78","","","141.36","31","543","0.00",""
"21047","02/16/2021","00:29:00","60000","209","45.8","0.012","-77.6","","74.70","","","133.08","30","545","0.00",""
"21047","02/16/2021","00:29:00","61000","233","31.5","0.036","-77.4","","70.86","","","126.11","28","545","0.00",""
