"Event Date","Event Time","Tower Measurement Location","Height","Time Interval","Avg Wind Direction","Avg Wind Speed","Peak Wind Direction","Peak Wind Speed","Peak Wind Direction 10 Min","Peak Wind Speed 10 Min","Deviation","Temp","Temperature Difference","Dew Point","Relative Humidity","Barometric Pressure"
"06/08/2022","17:05:00","0002 NW  SE","6","5","","","","","","","","85.9","","75.0","70",""
"06/08/2022","17:05:00","0002 NW  SE","12","5","92","5","86","10","86","10","15","","","","",""
"06/08/2022","17:05:00","0002 NW  SE","54","5","91","7","85","12","85","12","10","80.4","-5.5","74.4","82",""
"06/08/2022","17:05:00","0002 NW  SE","90","5","95","7","85","10","85","10","9","","","","",""
"06/08/2022","17:05:00","0002 NW  SE","145","5","91","7","81","11","81","11","8","","","","",""
"06/08/2022","17:05:00","0002 NW  SE","204","5","91","8","80","12","80","12","9","80.3","","76.1","87",""
"06/08/2022","17:05:00","0006 NW  SE","6","5","","","","","","","","82.0","","76.0","82",""
"06/08/2022","17:05:00","0006 NW  SE","12","5","83","4","77","8","75","9","19","","","","",""
"06/08/2022","17:05:00","0006 NW  SE","54","5","89","7","85","10","85","10","13","80.3","-1.7","76.1","87",""
"06/08/2022","17:05:00","0006 NW  SE","162","5","81","8","77","11","77","11","8","","","","",""
"06/08/2022","17:05:00","0006 NW  SE","204","5","82","8","82","10","80","10","7","78.7","","75.2","89",""
"06/08/2022","17:05:00","SLC 40","150","5","","","","","","","","","","","",""
"06/08/2022","17:05:00","SLC 40","151","5","","","","","","","","","","","",""
"06/08/2022","17:05:00","SLC 40","152","5","","","","","","","","","","","",""
"06/08/2022","17:05:00","SLC 41","50","5","89","7","92","11","92","11","11","","","","",""
"06/08/2022","17:05:00","SLC 41","51","5","94","7","97","11","96","11","14","","","","",""
"06/08/2022","17:05:00","SLC 41","230","5","90","8","83","10","82","11","7","","","","",""
"06/08/2022","17:05:00","SLC 41","231","5","94","10","94","12","83","13","8","","","","",""
"06/08/2022","17:05:00","0110 NW  SE","6","5","","","","","","","","82.1","","74.9","79",""
"06/08/2022","17:05:00","0110 NW  SE","12","5","99","5","79","8","91","9","21","","","","",""
"06/08/2022","17:05:00","0110 NW  SE","54","5","92","8","78","11","78","11","13","79.8","-2.3","74.5","84",""
"06/08/2022","17:05:00","0110 NW  SE","162","5","91","8","78","12","78","12","9","","","","",""
"06/08/2022","17:05:00","0110 NW  SE","204","5","87","7","79","11","100","11","9","79.1","","74.6","86",""
"06/08/2022","17:05:00","0313 NE  SW","6","5","","","","","","","","84.6","","75.8","75","1015.8"
"06/08/2022","17:05:00","0313 NE  SW","12","5","103","6","122","10","107","10","21","","","","",""
"06/08/2022","17:05:00","0313 NE  SW","54","5","95","7","85","11","96","11","14","82.1","-2.5","73.0","74",""
"06/08/2022","17:05:00","0313 NE  SW","162","5","93","8","86","11","104","12","12","","","","",""
"06/08/2022","17:05:00","0313 NE  SW","204","5","92","8","83","11","107","11","11","80.2","","73.8","81",""
"06/08/2022","17:05:00","0313 NE  SW","295","5","","","","","","","","","","","",""
"06/08/2022","17:05:00","0313 NE  SW","394","5","","","","","","","","","","","",""
"06/08/2022","17:05:00","0313 NE  SW","492","5","","","","","","","","","","","72",""
"06/08/2022","17:05:00","0002 SE  SE","6","5","","","","","","","","84.7","","77.9","80",""
"06/08/2022","17:05:00","0002 SE  SE","12","5","89","6","87","11","87","11","18","","","","",""
"06/08/2022","17:05:00","0002 SE  SE","54","5","85","6","87","11","87","11","11","84.9","0.2","76.5","76",""
"06/08/2022","17:05:00","0002 SE  SE","90","5","99","8","100","12","100","12","10","","","","",""
"06/08/2022","17:05:00","0002 SE  SE","145","5","90","9","102","13","102","13","9","","","","",""
"06/08/2022","17:05:00","0002 SE  SE","204","5","94","9","81","12","81","12","9","80.0","","75.1","85",""
"06/08/2022","17:05:00","0006 SE  SE","6","5","","","","","","","","82.5","","76.1","81",""
"06/08/2022","17:05:00","0006 SE  SE","12","5","82","4","83","9","92","10","23","","","","",""
"06/08/2022","17:05:00","0006 SE  SE","54","5","80","7","89","10","89","10","14","79.5","-3.0","75.3","87",""
