"Event Date","Event Time","Tower Measurement Location","Height","Time Interval","Avg Wind Direction","Avg Wind Speed","Peak Wind Direction","Peak Wind Speed","Peak Wind Direction 10 Min","Peak Wind Speed 10 Min","Deviation","Temp","Temperature Difference","Dew Point","Relative Humidity","Barometric Pressure"
"04/13/2015","19:35:00","0002 NW  SE","54","5","148","12","148","18","148","18","11","80.0","-3.0","71.6","76",""
"04/13/2015","19:35:00","0002 NW  SE","90","5","145","14","143","20","143","20","10","","","","",""
"04/13/2015","19:35:00","0002 NW  SE","145","5","144","16","147","20","147","20","8","","","","",""
"04/13/2015","19:35:00","0002 NW  SE","204","5","151","17","147","20","147","20","7","77.4","","70.6","80",""
"04/13/2015","19:35:00","0006 NW  SE","6","5","","","","","","","","82.2","","72.3","72",""
"04/13/2015","19:35:00","0006 NW  SE","12","5","137","8","137","17","137","17","12","","","","",""
"04/13/2015","19:35:00","0006 NW  SE","54","5","138","12","142","19","142","19","10","80.1","-2.1","72.1","76",""
"04/13/2015","19:35:00","0006 NW  SE","162","5","135","15","142","22","142","22","7","","","","",""
"04/13/2015","19:35:00","0006 NW  SE","204","5","133","17","143","23","143","23","6","78.1","","70.3","77",""
"04/13/2015","19:35:00","SLC 40","54","5","","","","","","","","","","","",""
"04/13/2015","19:35:00","SLC 41","230","5","144","16","146","20","147","21","6","","","","",""
"04/13/2015","19:35:00","SLC 41","231","5","140","15","141","18","143","19","6","","","","",""
"04/13/2015","19:35:00","0313 NE  SW","6","5","","","","","","","","81.2","","71.1","71","1019.1"
"04/13/2015","19:35:00","0313 NE  SW","12","5","139","10","137","15","137","15","12","","","","",""
"04/13/2015","19:35:00","0313 NE  SW","54","5","135","14","135","18","135","18","9","80.0","-1.3","70.6","73",""
"04/13/2015","19:35:00","0313 NE  SW","162","5","146","18","141","22","141","22","7","","","","",""
"04/13/2015","19:35:00","0313 NE  SW","204","5","136","18","131","22","131","22","6","78.6","","70.0","75",""
"04/13/2015","19:35:00","0313 NE  SW","295","5","130","19","126","24","126","24","5","","","","",""
"04/13/2015","19:35:00","0313 NE  SW","394","5","128","18","134","21","134","21","5","","","","",""
"04/13/2015","19:35:00","0313 NE  SW","492","5","143","19","146","23","146","23","5","77.2","","69.2","76",""
"04/13/2015","19:35:00","0002 SE  SE","6","5","","","","","","","","83.3","","73.6","72",""
"04/13/2015","19:35:00","0002 SE  SE","12","5","153","8","153","15","153","15","14","","","","",""
"04/13/2015","19:35:00","0002 SE  SE","54","5","155","11","156","17","156","17","12","80.5","-2.8","71.8","75",""
"04/13/2015","19:35:00","0002 SE  SE","90","5","153","14","147","18","147","18","11","","","","",""
"04/13/2015","19:35:00","0002 SE  SE","145","5","150","15","151","19","151","19","9","","","","",""
"04/13/2015","19:35:00","0002 SE  SE","204","5","153","17","150","19","150","20","8","78.1","","70.6","78",""
"04/13/2015","19:35:00","0006 SE  SE","6","5","","","","","","","","81.3","","71.5","72",""
"04/13/2015","19:35:00","0006 SE  SE","12","5","160","9","159","17","159","17","13","","","","",""
"04/13/2015","19:35:00","0006 SE  SE","54","5","141","13","132","19","132","19","10","79.7","-1.6","70.6","74",""
"04/13/2015","19:35:00","0006 SE  SE","162","5","140","16","135","22","135","22","8","","","","",""
"04/13/2015","19:35:00","0006 SE  SE","204","5","140","16","148","22","148","22","7","78.4","","71.3","79",""
"04/13/2015","19:35:00","0313 SW  SW","6","5","","","","","","","","81.6","","69.8","68","1019.1"
"04/13/2015","19:35:00","0313 SW  SW","12","5","129","10","133","15","133","15","12","","","","",""
"04/13/2015","19:35:00","0313 SW  SW","54","5","129","14","125","18","152","19","10","79.9","-1.7","70.4","73",""
"04/13/2015","19:35:00","0313 SW  SW","162","5","133","18","133","21","133","21","7","","","","",""
"04/13/2015","19:35:00","0313 SW  SW","204","5","133","18","126","21","126","21","7","78.8","","71.1","77",""
"04/13/2015","19:35:00","0313 SW  SW","295","5","145","19","143","23","143","23","6","","","","",""
"04/13/2015","19:35:00","0313 SW  SW","394","5","139","18","150","21","150","21","5","","","","",""
"04/13/2015","19:35:00","0313 SW  SW","492","5","137","18","132","22","132","22","5","77.3","","69.4","77",""
"04/13/2015","19:35:00","0110 NW  NW","6","5","","","","","","","","81.4","","72.8","75",""
"04/13/2015","19:35:00","0110 NW  NW","12","5","137","8","150","14","143","14","16","","","","",""
"04/13/2015","19:35:00","0110 NW  NW","54","5","144","12","152","18","143","19","11","79.5","-2.0","72.2","78",""
"04/13/2015","19:35:00","0110 NW  NW","162","5","142","15","147","20","145","20","8","","","","",""
"04/13/2015","19:35:00","0110 NW  NW","204","5","143","15","150","20","141","21","7","77.8","","71.3","81",""
"04/13/2015","19:35:00","0110 SE  NW","6","5","","","","","","","","81.5","","71.9","73",""
"04/13/2015","19:35:00","0110 SE  NW","12","5","142","8","117","14","149","14","18","","","","",""
"04/13/2015","19:35:00","0110 SE  NW","54","5","146","12","156","19","156","19","12","","","","74",""
"04/13/2015","19:35:00","0110 SE  NW","162","5","142","15","141","18","145","19","9","","","","",""
"04/13/2015","19:35:00","0110 SE  NW","204","5","142","15","142","19","141","20","8","78.0","","71.0","79",""
"04/13/2015","19:40:00","0002 NW  SE","6","5","","","","","","","","83.2","","73.5","73",""
"04/13/2015","19:40:00","0002 NW  SE","12","5","148","8","151","13","141","15","14","","","","",""
"04/13/2015","19:40:00","0002 NW  SE","54","5","149","12","149","18","148","18","10","80.2","-3.0","71.9","76",""
"04/13/2015","19:40:00","0002 NW  SE","90","5","147","14","158","19","143","20","10","","","","",""
