"Event Date","Event Time","Profiler","Height","Speed","Direction","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5"
"12/10/2020","21:16:17","RWP0004","0.130","12.8","79","-2.40","2.40","-2.40","","","5","8","9","","","13","13","13","",""
"12/10/2020","21:16:17","RWP0004","0.231","","","-2.40","2.40","-2.40","","","5","5","9","","","13","13","13","",""
"12/10/2020","21:16:17","RWP0004","0.332","12.6","168","-2.40","-2.40","-2.40","","","5","6","9","","","13","12","13","",""
"12/10/2020","21:16:17","RWP0004","0.434","","","-2.40","0.00","-2.40","","","6","5","9","","","13","14","12","",""
"12/10/2020","21:16:17","RWP0004","0.535","","","-2.40","0.00","-2.40","","","5","9","5","","","12","11","11","",""
"12/10/2020","21:16:17","RWP0004","0.636","8.8","122","-2.40","0.10","-2.40","","","4","7","6","","","8","-2","7","",""
"12/10/2020","21:16:17","RWP0004","0.737","","","0.20","0.40","-1.40","","","6","8","5","","","1","-4","-2","",""
"12/10/2020","21:16:17","RWP0004","0.838","3.2","292","0.00","-0.10","0.90","","","8","9","7","","","-3","-4","-5","",""
"12/10/2020","21:16:17","RWP0004","0.940","5.1","303","-0.20","-0.20","1.20","","","8","8","8","","","-3","-5","-5","",""
"12/10/2020","21:16:17","RWP0004","1.041","","","0.70","-0.30","1.40","","","6","5","7","","","-9","-5","-9","",""
"12/10/2020","21:16:17","RWP0004","1.142","","","0.90","6.70","2.60","","","5","3","3","","","-9","-9","-10","",""
"12/10/2020","21:16:17","RWP0004","1.243","","","-1.00","6.10","-7.60","","","2","3","2","","","-12","-10","-9","",""
"12/10/2020","21:16:17","RWP0004","1.344","","","1.20","6.00","-4.70","","","4","2","2","","","-8","-11","-17","",""
"12/10/2020","21:16:17","RWP0004","1.445","","","0.80","6.10","-7.20","","","4","3","3","","","-10","-9","-11","",""
"12/10/2020","21:16:17","RWP0004","1.547","","","-1.30","-8.30","-8.60","","","2","2","4","","","-13","-9","-12","",""
"12/10/2020","21:16:17","RWP0004","1.648","","","9.80","-4.20","-8.60","","","4","3","4","","","-14","-14","-13","",""
"12/10/2020","21:16:17","RWP0004","1.749","","","-7.20","-7.80","-10.00","","","4","3","3","","","-15","-11","-13","",""
"12/10/2020","21:16:17","RWP0004","1.850","","","9.30","-8.00","7.00","","","3","3","4","","","-14","-15","-20","",""
"12/10/2020","21:16:17","RWP0004","1.951","","","-5.90","9.50","-9.40","","","4","3","2","","","-16","-19","-14","",""
"12/10/2020","21:16:17","RWP0004","2.053","","","-5.70","-3.80","0.30","","","2","3","3","","","-13","-17","-13","",""
"12/10/2020","21:16:17","RWP0004","2.154","","","-7.10","-8.20","-7.00","","","3","2","2","","","-15","-16","-14","",""
"12/10/2020","21:16:17","RWP0004","2.255","","","-6.80","-9.00","-7.90","","","3","3","2","","","-13","-10","-14","",""
"12/10/2020","21:16:17","RWP0004","2.356","","","-6.30","-8.10","1.30","","","3","3","3","","","-11","-8","-11","",""
"12/10/2020","21:16:17","RWP0004","2.457","","","6.90","5.30","-9.90","","","2","3","2","","","-16","-13","-7","",""
"12/10/2020","21:16:17","RWP0004","2.558","","","-6.50","6.40","-8.20","","","3","3","3","","","-11","-17","-15","",""
"12/10/2020","21:16:17","RWP0004","2.660","","","-7.00","7.30","2.50","","","3","3","2","","","-11","-12","-14","",""
"12/10/2020","21:16:17","RWP0004","2.761","","","-6.20","-7.80","1.00","","","3","2","3","","","-12","-9","-14","",""
"12/10/2020","21:16:17","RWP0004","2.862","","","-5.40","5.60","-8.10","","","3","3","2","","","-11","-16","-12","",""
"12/10/2020","21:16:17","RWP0004","2.963","","","9.70","-8.30","-0.70","","","2","3","2","","","-13","-9","-20","",""
"12/10/2020","21:16:17","RWP0004","3.064","","","-5.60","7.00","-9.20","","","4","2","3","","","-13","-13","-9","",""
"12/10/2020","21:16:17","RWP0004","3.166","","","-6.70","-7.90","5.00","","","3","3","2","","","-14","-13","-18","",""
"12/10/2020","21:16:17","RWP0004","3.267","","","-9.90","5.10","-8.30","","","3","2","4","","","-19","-20","-16","",""
"12/10/2020","21:16:17","RWP0004","3.368","","","2.00","-9.20","-7.10","","","2","3","2","","","-15","-15","-17","",""
"12/10/2020","21:16:17","RWP0004","3.469","","","8.00","-3.30","-7.30","","","3","4","3","","","-14","-15","-15","",""
"12/10/2020","21:16:17","RWP0004","3.570","","","8.00","6.00","-7.70","","","3","3","3","","","-14","-14","-13","",""
"12/10/2020","21:16:17","RWP0004","3.671","","","-6.40","-7.90","-7.70","","","3","3","3","","","-12","-7","-11","",""
"12/10/2020","21:16:17","RWP0004","3.773","","","6.80","6.00","-7.80","","","2","3","3","","","-15","-12","-12","",""
"12/10/2020","21:16:17","RWP0004","3.874","","","-6.80","-2.10","-9.50","","","3","2","2","","","-11","-14","-6","",""
"12/10/2020","21:16:17","RWP0004","3.975","","","-5.40","-8.80","-8.00","","","3","3","2","","","-11","-7","-8","",""
"12/10/2020","21:16:17","RWP0004","4.076","","","-3.90","7.40","-8.50","","","3","2","4","","","-14","-9","-9","",""
"12/10/2020","21:16:17","RWP0004","4.177","","","-7.30","6.40","-7.90","","","3","3","2","","","-10","-12","-10","",""
"12/10/2020","21:16:17","RWP0004","4.279","","","-5.40","-7.80","-9.20","","","4","3","3","","","-10","-6","-4","",""
"12/10/2020","21:16:17","RWP0004","4.380","","","-5.80","-5.20","-7.30","","","4","3","3","","","-9","-13","-10","",""
"12/10/2020","21:16:17","RWP0004","4.481","","","-7.00","6.30","-8.00","","","3","4","3","","","-10","-13","-10","",""
"12/10/2020","21:16:17","RWP0004","4.582","","","-7.80","6.70","1.00","","","5","3","3","","","-13","-9","-17","",""
"12/10/2020","21:16:17","RWP0004","4.683","","","6.70","7.10","-8.70","","","2","4","3","","","-15","-11","-9","",""
"12/10/2020","21:16:17","RWP0004","4.784","","","-7.20","7.10","-8.70","","","4","3","5","","","-12","-11","-9","",""
"12/10/2020","21:16:17","RWP0004","4.886","","","8.20","-8.00","-9.60","","","4","2","3","","","-11","-5","-7","",""
"12/10/2020","21:16:17","RWP0004","4.987","","","8.90","-8.10","-9.50","","","4","2","3","","","-10","-6","-5","",""
"12/10/2020","21:16:17","RWP0004","5.088","","","-8.40","7.00","-8.10","","","4","2","2","","","-11","-9","-8","",""
"12/10/2020","21:16:17","RWP0004","5.189","","","-6.50","-8.80","-9.70","","","3","3","3","","","-11","-8","-6","",""
"12/10/2020","21:16:17","RWP0004","5.290","","","-6.70","6.50","-7.70","","","3","3","3","","","-9","-9","-11","",""
"12/10/2020","21:16:17","RWP0004","5.392","","","-6.60","-8.00","-9.70","","","3","3","2","","","-10","-6","-6","",""
"12/10/2020","21:16:17","RWP0004","5.493","","","8.90","-7.80","-9.20","","","3","3","2","","","-11","-5","-5","",""
"12/10/2020","21:16:17","RWP0004","5.594","","","-6.90","5.60","-8.00","","","3","3","2","","","-11","-10","-8","",""
"12/10/2020","21:16:17","RWP0004","5.695","","","-8.20","5.80","-9.50","","","5","4","4","","","-13","-11","-7","",""
"12/10/2020","21:16:17","RWP0004","5.796","","","9.40","-7.70","-9.40","","","3","3","3","","","-8","-6","-5","",""
"12/10/2020","21:16:17","RWP0004","5.897","","","9.80","5.50","-9.10","","","3","3","4","","","-9","-10","-7","",""
"12/10/2020","21:16:17","RWP0004","5.999","","","-6.30","6.40","1.10","","","3","3","3","","","-11","-9","-10","",""
"12/10/2020","21:16:17","RWP0004","6.100","","","-6.40","-7.80","-9.30","","","3","3","2","","","-10","-8","-7","",""
"12/10/2020","21:16:17","RWP0001","0.130","1.4","81","0.00","0.30","0.10","","","9","10","9","","","20","26","19","",""
"12/10/2020","21:16:17","RWP0001","0.231","1.3","76","0.00","0.30","0.10","","","9","10","9","","","19","23","17","",""
"12/10/2020","21:16:17","RWP0001","0.332","1.3","61","0.00","0.30","0.20","","","9","10","9","","","15","18","14","",""
"12/10/2020","21:16:17","RWP0001","0.434","1.2","42","0.10","0.30","0.30","","","9","10","9","","","9","12","10","",""
"12/10/2020","21:16:17","RWP0001","0.535","1.5","311","0.30","-0.10","0.50","","","9","10","9","","","6","6","5","",""
"12/10/2020","21:16:17","RWP0001","0.636","3.8","297","0.40","-0.50","0.80","","","9","10","9","","","10","8","6","",""
"12/10/2020","21:16:17","RWP0001","0.737","4.7","296","0.40","-0.70","1.00","","","9","10","9","","","15","14","12","",""
"12/10/2020","21:16:17","RWP0001","0.838","4.9","297","0.40","-0.70","1.00","","","9","10","9","","","14","16","13","",""
"12/10/2020","21:16:17","RWP0001","0.940","5.0","299","0.40","-0.70","1.10","","","9","10","9","","","10","12","11","",""
"12/10/2020","21:16:17","RWP0001","1.041","5.0","301","0.40","-0.80","1.10","","","9","10","9","","","3","6","4","",""
"12/10/2020","21:16:17","RWP0001","1.142","5.3","315","0.20","-0.80","1.20","","","9","10","9","","","-3","-2","-3","",""
"12/10/2020","21:16:17","RWP0001","1.243","5.7","336","-0.20","-0.80","1.20","","","9","10","9","","","0","-3","-5","",""
"12/10/2020","21:16:17","RWP0001","1.344","5.6","337","-0.20","-0.80","1.20","","","9","10","9","","","-1","0","-2","",""
"12/10/2020","21:16:17","RWP0001","1.445","4.9","338","-0.20","-0.70","1.00","","","9","10","9","","","-4","-2","-3","",""
"12/10/2020","21:16:17","RWP0001","1.547","4.0","337","-0.10","-0.50","0.90","","","9","10","9","","","-9","-5","-7","",""
"12/10/2020","21:16:17","RWP0001","1.648","3.1","328","-0.10","-0.50","0.60","","","9","10","9","","","-10","-9","-12","",""
"12/10/2020","21:16:17","RWP0001","1.749","1.8","261","0.00","-0.50","-0.10","","","8","10","6","","","-11","-9","-12","",""
"12/10/2020","21:16:17","RWP0001","1.850","1.7","260","-0.10","-0.60","-0.20","","","6","10","6","","","-16","-10","-15","",""
"12/10/2020","21:16:17","RWP0001","1.951","","","-6.30","-0.70","-0.60","","","3","8","3","","","-21","-16","-17","",""
"12/10/2020","21:16:17","RWP0001","2.053","","","-6.00","6.60","7.70","","","3","4","4","","","-19","-20","-18","",""
"12/10/2020","21:16:17","RWP0001","2.154","","","0.40","-0.80","-6.20","","","5","7","3","","","-16","-16","-20","",""
"12/10/2020","21:16:17","RWP0001","2.255","","","8.20","-1.00","0.60","","","3","5","2","","","-20","-16","-18","",""
"12/10/2020","21:16:17","RWP0001","2.356","","","-1.40","-1.00","-8.90","","","2","4","4","","","-20","-18","-21","",""
"12/10/2020","21:16:17","RWP0001","2.457","","","-4.40","3.30","-5.50","","","3","2","2","","","-21","-19","-21","",""
"12/10/2020","21:16:17","RWP0001","2.558","","","9.30","2.70","5.40","","","3","3","2","","","-20","-17","-18","",""
"12/10/2020","21:16:17","RWP0001","2.660","","","-0.70","1.60","-8.10","","","4","3","2","","","-20","-20","-22","",""
"12/10/2020","21:16:17","RWP0001","2.761","","","-3.10","8.30","8.60","","","3","4","2","","","-21","-20","-18","",""
"12/10/2020","21:16:17","RWP0001","2.862","","","7.30","-1.50","-8.20","","","3","4","3","","","-21","-20","-18","",""
"12/10/2020","21:16:17","RWP0001","2.963","","","5.00","8.70","3.70","","","3","3","2","","","-20","-18","-20","",""
"12/10/2020","21:16:17","RWP0001","3.064","","","4.80","-7.10","-3.10","","","3","3","5","","","-21","-17","-17","",""
"12/10/2020","21:16:17","RWP0001","3.166","","","-0.90","-1.50","-0.80","","","3","3","2","","","-19","-18","-19","",""
"12/10/2020","21:16:17","RWP0001","3.267","","","-2.70","-5.90","0.90","","","3","2","2","","","-16","-19","-20","",""
"12/10/2020","21:16:17","RWP0001","3.368","","","-1.30","-3.10","-9.60","","","3","3","3","","","-23","-19","-22","",""
"12/10/2020","21:16:17","RWP0001","3.469","","","-4.30","6.60","9.20","","","4","3","3","","","-19","-19","-20","",""
"12/10/2020","21:16:17","RWP0001","3.570","","","-1.80","-2.00","-7.50","","","3","4","2","","","-22","-19","-19","",""
"12/10/2020","21:16:17","RWP0001","3.671","","","-5.30","-6.20","8.30","","","3","4","2","","","-19","-20","-20","",""
"12/10/2020","21:16:17","RWP0001","3.773","","","-4.70","-0.90","-3.20","","","3","2","2","","","-19","-21","-21","",""
"12/10/2020","21:16:17","RWP0001","3.874","","","-1.90","-2.60","-5.80","","","3","4","3","","","-19","-21","-17","",""
"12/10/2020","21:16:17","RWP0001","3.975","","","-2.60","4.50","-5.80","","","4","2","3","","","-19","-22","-19","",""
"12/10/2020","21:16:17","RWP0001","4.076","","","3.50","-9.60","-2.20","","","3","3","3","","","-20","-18","-20","",""
"12/10/2020","21:16:17","RWP0001","4.177","","","4.40","1.20","1.40","","","5","2","3","","","-19","-19","-19","",""
"12/10/2020","21:16:17","RWP0001","4.279","","","5.40","7.50","-3.00","","","4","3","2","","","-20","-18","-23","",""
"12/10/2020","21:16:17","RWP0001","4.380","","","-0.50","-7.60","7.90","","","2","4","3","","","-21","-19","-18","",""
"12/10/2020","21:16:17","RWP0001","4.481","","","-4.70","-2.20","7.80","","","5","4","2","","","-18","-20","-21","",""
"12/10/2020","21:16:17","RWP0001","4.582","","","6.10","-2.30","-4.10","","","3","3","3","","","-18","-16","-19","",""
"12/10/2020","21:16:17","RWP0001","4.683","","","-8.30","-1.70","-2.80","","","2","5","2","","","-21","-17","-17","",""
"12/10/2020","21:16:17","RWP0001","4.784","","","-7.50","-2.70","-3.20","","","4","4","2","","","-19","-17","-20","",""
"12/10/2020","21:16:17","RWP0001","4.886","","","3.80","-1.80","3.00","","","2","3","2","","","-19","-19","-19","",""
"12/10/2020","21:16:17","RWP0001","4.987","","","2.80","3.70","-5.10","","","6","2","3","","","-17","-21","-18","",""
"12/10/2020","21:16:17","RWP0001","5.088","","","2.50","2.20","5.30","","","5","3","3","","","-17","-20","-18","",""
