"Event Date","Event Time","Mill Number","One Minute Mean"
"01/23/2021","09:42:00","15","110"
"01/23/2021","09:42:00","16","169"
"01/23/2021","09:42:00","17","214"
"01/23/2021","09:42:00","18","145"
"01/23/2021","09:42:00","19","206"
"01/23/2021","09:42:00","20","148"
"01/23/2021","09:42:00","21","90"
"01/23/2021","09:42:00","22","30"
"01/23/2021","09:42:00","24","163"
"01/23/2021","09:42:00","25","112"
"01/23/2021","09:42:00","26","118"
"01/23/2021","09:42:00","27","-49"
"01/23/2021","09:42:00","29","63"
"01/23/2021","09:42:00","30","169"
"01/23/2021","09:42:00","31","49"
"01/23/2021","09:42:00","32","64"
"01/23/2021","09:42:00","34","177"
"01/23/2021","09:43:00","1","159"
"01/23/2021","09:43:00","2","88"
"01/23/2021","09:43:00","4","137"
"01/23/2021","09:43:00","5","49"
"01/23/2021","09:43:00","6","168"
"01/23/2021","09:43:00","8","164"
"01/23/2021","09:43:00","9","161"
"01/23/2021","09:43:00","11","183"
"01/23/2021","09:43:00","12","184"
"01/23/2021","09:43:00","14","135"
"01/23/2021","09:43:00","15","106"
"01/23/2021","09:43:00","16","166"
"01/23/2021","09:43:00","17","202"
"01/23/2021","09:43:00","18","138"
"01/23/2021","09:43:00","19","205"
"01/23/2021","09:43:00","20","144"
"01/23/2021","09:43:00","21","88"
"01/23/2021","09:43:00","22","25"
"01/23/2021","09:43:00","24","166"
"01/23/2021","09:43:00","25","107"
"01/23/2021","09:43:00","26","108"
"01/23/2021","09:43:00","27","-51"
"01/23/2021","09:43:00","29","54"
"01/23/2021","09:43:00","30","172"
"01/23/2021","09:43:00","31","55"
"01/23/2021","09:43:00","32","63"
"01/23/2021","09:43:00","34","178"
"01/23/2021","09:44:00","1","159"
"01/23/2021","09:44:00","2","86"
"01/23/2021","09:44:00","4","136"
"01/23/2021","09:44:00","5","47"
"01/23/2021","09:44:00","6","174"
"01/23/2021","09:44:00","8","164"
"01/23/2021","09:44:00","9","162"
"01/23/2021","09:44:00","11","184"
"01/23/2021","09:44:00","12","173"
"01/23/2021","09:44:00","14","131"
"01/23/2021","09:44:00","15","113"
"01/23/2021","09:44:00","16","172"
"01/23/2021","09:44:00","17","208"
"01/23/2021","09:44:00","18","141"
"01/23/2021","09:44:00","19","205"
"01/23/2021","09:44:00","20","142"
"01/23/2021","09:44:00","21","88"
"01/23/2021","09:44:00","22","19"
"01/23/2021","09:44:00","24","162"
"01/23/2021","09:44:00","25","111"
"01/23/2021","09:44:00","26","101"
"01/23/2021","09:44:00","27","-59"
"01/23/2021","09:44:00","29","49"
"01/23/2021","09:44:00","30","176"
"01/23/2021","09:44:00","31","65"
"01/23/2021","09:44:00","32","68"
"01/23/2021","09:44:00","34","175"
"01/23/2021","09:45:00","1","157"
