"Julian Date","Event Date","Event Time","Altitude","Wind Direction","Wind Speed","Wind Shear","Temperature","Dew Point","Pressure","Relative Humidity","AbsoluteHumidity","Density","IndexOfRefraction","VelocityOfSound","SaturationVaporPressure","PrecipitableWater"
"21168","06/17/2021","12:39:00","1000","236","11.9","0.010","21.3","18.0","982.09","81","15.16","1152.73","347","672","20.60","5"
"21168","06/17/2021","12:39:00","2000","299","7.2","0.018","22.2","15.2","948.34","65","12.69","1110.88","323","672","17.29","9"
"21168","06/17/2021","12:39:00","3000","325","6.4","0.005","20.3","15.5","915.70","74","12.97","1079.20","318","670","17.56","13"
"21168","06/17/2021","12:39:00","4000","277","3.2","0.008","18.5","12.2","883.96","67","10.59","1049.45","298","668","14.25","17"
"21168","06/17/2021","12:39:00","5000","300","1.6","0.003","16.3","11.2","853.10","72","9.94","1020.72","288","665","13.27","20"
"21168","06/17/2021","12:39:00","6000","177","8.5","0.016","14.5","9.5","823.11","72","8.96","991.43","276","663","11.89","23"
"21168","06/17/2021","12:39:00","7000","213","7.8","0.009","12.5","9.3","793.98","81","8.91","962.91","269","661","11.74","25"
"21168","06/17/2021","12:39:00","8000","232","7.8","0.004","10.6","8.2","765.70","85","8.31","935.04","260","658","10.88","28"
"21168","06/17/2021","12:39:00","9000","252","7.5","0.005","9.4","6.5","738.27","82","7.40","905.77","248","657","9.65","31"
"21168","06/17/2021","12:39:00","10000","259","11.8","0.008","8.2","3.9","711.72","74","6.22","877.50","234","655","8.07","33"
"21168","06/17/2021","12:39:00","11000","259","15.6","0.006","6.1","2.8","685.96","79","5.80","852.24","226","653","7.48","34"
"21168","06/17/2021","12:39:00","12000","258","13.6","0.004","3.7","2.7","660.93","93","5.80","828.15","221","650","7.42","36"
"21168","06/17/2021","12:39:00","13000","259","12.7","0.002","1.5","0.4","636.63","92","4.96","804.51","211","647","6.29","38"
"21168","06/17/2021","12:39:00","14000","288","8.0","0.012","-0.3","-2.7","613.04","84","3.97","780.31","199","645","5.00","39"
"21168","06/17/2021","12:39:00","15000","282","10.5","0.004","-0.8","-20.7","590.17","20","0.93","754.36","174","644","1.17","40"
"21168","06/17/2021","12:39:00","16000","294","11.7","0.005","-3.2","-21.4","568.04","23","0.88","732.54","169","641","1.10","40"
"21168","06/17/2021","12:39:00","17000","303","6.9","0.008","-3.8","-48.3","546.60","2","0.06","706.95","158","640","0.07","40"
"21168","06/17/2021","12:39:00","18000","324","6.1","0.004","-5.2","-54.1","525.90","1","0.03","683.73","152","638","0.04","40"
"21168","06/17/2021","12:39:00","19000","349","9.2","0.008","-7.4","-55.5","505.86","1","0.03","663.13","148","635","0.03","40"
"21168","06/17/2021","12:39:00","20000","315","12.0","0.011","-9.3","-50.1","486.43","2","0.05","642.23","143","633","0.06","40"
"21168","06/17/2021","12:39:00","21000","308","17.1","0.009","-11.5","-50.0","467.60","2","0.05","622.56","139","631","0.06","40"
"21168","06/17/2021","12:39:00","22000","319","15.6","0.006","-13.6","-59.4","449.35","1","0.02","603.13","134","628","0.02","40"
"21168","06/17/2021","12:39:00","23000","336","13.1","0.008","-15.2","-62.3","431.69","1","0.01","583.02","130","626","0.01","40"
"21168","06/17/2021","12:39:00","24000","319","14.4","0.007","-17.0","-64.5","414.62","1","0.01","563.91","126","624","0.01","40"
"21168","06/17/2021","12:39:00","25000","337","14.2","0.008","-18.4","-64.3","398.13","1","0.01","544.45","121","622","0.01","40"
"21168","06/17/2021","12:39:00","26000","300","22.1","0.023","-20.5","-42.8","382.19","12","0.12","526.93","118","620","0.14","40"
"21168","06/17/2021","12:39:00","27000","277","25.3","0.016","-22.7","-32.2","366.77","41","0.35","509.97","116","617","0.41","41"
"21168","06/17/2021","12:39:00","28000","277","30.5","0.009","-25.4","-32.1","351.83","53","0.36","494.52","113","614","0.41","41"
"21168","06/17/2021","12:39:00","29000","271","41.8","0.020","-26.0","-30.7","337.42","64","0.41","475.38","109","613","0.47","41"
"21168","06/17/2021","12:39:00","30000","266","42.1","0.006","-28.4","-33.0","323.51","64","0.33","460.29","105","610","0.37","41"
"21168","06/17/2021","12:39:00","31000","264","44.6","0.005","-30.9","-34.8","310.04","69","0.28","445.70","101","607","0.32","41"
"21168","06/17/2021","12:39:00","32000","266","49.7","0.009","-33.3","-36.8","297.00","71","0.23","431.25","98","604","0.26","41"
"21168","06/17/2021","12:39:00","33000","266","50.3","0.001","-36.0","-39.6","284.38","69","0.18","417.66","94","600","0.19","41"
"21168","06/17/2021","12:39:00","34000","273","49.0","0.010","-38.5","-41.8","272.17","71","0.14","404.00","91","597","0.15","41"
"21168","06/17/2021","12:39:00","35000","271","56.2","0.013","-40.7","-44.8","260.37","64","0.10","390.16","88","594","0.11","41"
"21168","06/17/2021","12:39:00","36000","272","62.7","0.011","-42.9","-47.2","248.96","62","0.08","376.65","84","592","0.08","41"
"21168","06/17/2021","12:39:00","37000","271","67.3","0.008","-45.2","-50.3","237.97","56","0.06","363.65","81","589","0.06","41"
"21168","06/17/2021","12:39:00","38000","267","72.5","0.012","-47.8","-53.8","227.34","49","0.04","351.43","79","585","0.04","41"
"21168","06/17/2021","12:39:00","39000","264","73.0","0.006","-50.4","-56.8","217.07","46","0.03","339.48","76","582","0.03","41"
"21168","06/17/2021","12:39:00","40000","265","73.2","0.002","-53.1","-60.0","207.16","42","0.02","327.96","73","578","0.02","41"
"21168","06/17/2021","12:39:00","41000","265","71.7","0.002","-55.9","-63.0","197.58","40","0.01","316.82","71","575","0.01","41"
"21168","06/17/2021","12:39:00","42000","264","70.9","0.003","-58.7","-65.5","188.33","40","0.01","305.94","68","571","0.01","41"
"21168","06/17/2021","12:39:00","43000","269","68.7","0.011","-61.6","","179.40","","","295.43","66","567","0.00",""
"21168","06/17/2021","12:39:00","44000","277","70.0","0.017","-63.8","","170.79","","","284.21","63","564","0.00",""
"21168","06/17/2021","12:39:00","45000","282","66.7","0.012","-66.1","","162.51","","","273.44","61","561","0.00",""
"21168","06/17/2021","12:39:00","46000","284","61.0","0.010","-68.7","","154.55","","","263.35","59","557","0.00",""
"21168","06/17/2021","12:39:00","47000","280","53.7","0.014","-70.3","","146.88","","","252.26","56","555","0.00",""
"21168","06/17/2021","12:39:00","48000","291","45.7","0.021","-70.1","","139.59","","","239.51","53","555","0.00",""
"21168","06/17/2021","12:39:00","49000","293","38.1","0.013","-69.8","","132.66","","","227.28","51","556","0.00",""
