"Event Date","Event Time","Profiler","Height","Speed","Direction","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5"
"03/12/2017","02:01:01","RWP0005","0.130","6.2","117","-3.80","0.30","-1.60","","","4","6","10","","","-1","-1","8","",""
"03/12/2017","02:01:01","RWP0005","0.231","6.2","125","-0.10","-0.10","-1.70","","","6","7","10","","","0","0","6","",""
"03/12/2017","02:01:01","RWP0005","0.332","7.4","108","0.00","0.60","-1.90","","","8","10","10","","","-1","-1","3","",""
"03/12/2017","02:01:01","RWP0005","0.434","7.0","104","-0.20","0.50","-1.90","","","8","9","10","","","-4","-2","0","",""
"03/12/2017","02:01:01","RWP0005","0.535","7.0","108","-0.10","0.50","-1.90","","","8","9","10","","","-5","-3","-1","",""
"03/12/2017","02:01:01","RWP0005","0.636","7.8","111","0.00","0.60","-2.00","","","8","8","9","","","-5","-4","-3","",""
"03/12/2017","02:01:01","RWP0005","0.737","6.8","94","-0.50","0.50","-2.10","","","6","10","9","","","-4","-4","-4","",""
"03/12/2017","02:01:01","RWP0005","0.838","7.6","121","0.10","0.30","-1.90","","","8","10","9","","","-5","-2","-2","",""
"03/12/2017","02:01:01","RWP0005","0.940","6.0","97","-0.30","0.40","-1.70","","","9","9","9","","","-4","-1","1","",""
"03/12/2017","02:01:01","RWP0005","1.041","5.3","86","-0.50","0.40","-1.60","","","8","8","9","","","-7","-3","-1","",""
"03/12/2017","02:01:01","RWP0005","1.142","6.3","119","0.30","0.50","-1.40","","","6","8","9","","","-11","-7","-6","",""
"03/12/2017","02:01:01","RWP0005","1.243","4.6","111","0.10","0.40","-1.10","","","6","7","9","","","-13","-11","-11","",""
"03/12/2017","02:01:01","RWP0005","1.344","","","0.20","-0.10","-0.80","","","8","4","9","","","-11","-14","-7","",""
"03/12/2017","02:01:01","RWP0005","1.445","3.3","120","0.00","0.10","-0.90","","","7","8","10","","","-8","-10","-2","",""
"03/12/2017","02:01:01","RWP0005","1.547","2.9","123","-0.20","-0.20","-1.00","","","8","9","10","","","-9","-8","-1","",""
"03/12/2017","02:01:01","RWP0005","1.648","3.2","139","-0.50","-0.20","-0.80","","","5","6","9","","","-11","-13","-4","",""
"03/12/2017","02:01:01","RWP0005","1.749","2.3","112","-5.70","0.20","-0.60","","","3","6","9","","","-12","-15","-2","",""
"03/12/2017","02:01:01","RWP0005","1.850","","","-0.90","0.80","-0.50","","","5","5","9","","","-12","-14","-4","",""
"03/12/2017","02:01:01","RWP0005","1.951","4.3","63","0.10","1.00","-0.50","","","4","8","10","","","-14","-12","-7","",""
"03/12/2017","02:01:01","RWP0005","2.053","4.8","63","-0.40","1.10","-0.60","","","5","9","9","","","-15","-11","-7","",""
"03/12/2017","02:01:01","RWP0005","2.154","4.7","64","2.90","1.10","-0.60","","","4","6","9","","","-12","-14","-11","",""
"03/12/2017","02:01:01","RWP0005","2.255","","","-1.00","1.20","-0.60","","","3","4","5","","","-19","-18","-18","",""
"03/12/2017","02:01:01","RWP0005","2.356","","","-4.60","7.90","6.60","","","3","4","2","","","-17","-20","-20","",""
"03/12/2017","02:01:01","RWP0005","2.457","","","8.10","-5.70","7.00","","","4","2","2","","","-18","-19","-18","",""
"03/12/2017","02:01:01","RWP0005","2.558","","","2.40","-5.10","-7.80","","","3","2","2","","","-18","-18","-15","",""
"03/12/2017","02:01:01","RWP0005","2.660","","","-0.80","4.90","8.00","","","2","2","2","","","-21","-19","-22","",""
"03/12/2017","02:01:01","RWP0005","2.761","","","5.90","2.60","-3.90","","","3","3","3","","","-20","-19","-21","",""
"03/12/2017","02:01:01","RWP0005","2.862","","","3.10","6.60","4.70","","","4","4","3","","","-19","-19","-20","",""
"03/12/2017","02:01:01","RWP0005","2.963","","","3.30","-9.80","-1.40","","","6","4","4","","","-18","-19","-20","",""
"03/12/2017","02:01:01","RWP0005","3.064","","","3.60","-5.50","-6.30","","","3","2","2","","","-18","-20","-17","",""
"03/12/2017","02:01:01","RWP0005","3.166","","","-8.40","-9.20","5.10","","","3","3","3","","","-20","-20","-19","",""
"03/12/2017","02:01:01","RWP0005","3.267","","","-5.10","5.70","5.90","","","4","3","3","","","-19","-20","-21","",""
"03/12/2017","02:01:01","RWP0005","3.368","","","6.90","3.00","7.30","","","3","4","3","","","-17","-17","-19","",""
"03/12/2017","02:01:01","RWP0005","3.469","","","-1.60","3.60","1.10","","","4","3","3","","","-19","-18","-19","",""
"03/12/2017","02:01:01","RWP0005","3.570","","","3.20","-8.40","3.90","","","4","2","2","","","-18","-19","-20","",""
"03/12/2017","02:01:01","RWP0005","3.671","","","-7.60","4.80","-1.90","","","3","3","3","","","-18","-20","-20","",""
"03/12/2017","02:01:01","RWP0005","3.773","","","8.20","9.00","-2.90","","","4","2","2","","","-20","-17","-22","",""
"03/12/2017","02:01:01","RWP0005","3.874","","","2.50","9.40","4.90","","","3","3","3","","","-17","-19","-19","",""
"03/12/2017","02:01:01","RWP0005","3.975","","","8.40","9.80","-1.60","","","2","2","4","","","-20","-21","-15","",""
"03/12/2017","02:01:01","RWP0005","4.076","","","8.40","1.20","4.20","","","3","2","2","","","-20","-19","-17","",""
"03/12/2017","02:01:01","RWP0005","4.177","","","-5.30","-9.50","9.00","","","3","5","3","","","-17","-16","-21","",""
"03/12/2017","02:01:01","RWP0005","4.279","","","6.40","2.60","-5.20","","","4","2","2","","","-19","-18","-21","",""
"03/12/2017","02:01:01","RWP0005","4.380","","","2.40","4.80","-8.50","","","2","2","5","","","-20","-12","-17","",""
"03/12/2017","02:01:01","RWP0005","4.481","","","3.70","-6.90","-7.50","","","4","3","3","","","-18","-20","-18","",""
"03/12/2017","02:01:01","RWP0005","4.582","","","-5.60","-8.50","-8.80","","","3","3","6","","","-19","-21","-21","",""
"03/12/2017","02:01:01","RWP0005","4.683","","","9.20","-1.60","8.80","","","2","3","3","","","-20","-20","-18","",""
"03/12/2017","02:01:01","RWP0005","4.784","","","4.10","-9.40","-5.60","","","2","2","2","","","-19","-19","-21","",""
"03/12/2017","02:01:01","RWP0005","4.886","","","-5.80","4.70","-4.40","","","2","2","3","","","-19","-20","-20","",""
"03/12/2017","02:01:01","RWP0005","4.987","","","-2.50","9.40","3.30","","","3","3","2","","","-22","-20","-18","",""
"03/12/2017","02:01:01","RWP0005","5.088","","","-4.00","-1.30","-1.00","","","2","2","3","","","-17","-20","-19","",""
"03/12/2017","02:01:01","RWP0005","5.189","","","2.80","-1.60","-8.40","","","4","2","3","","","-18","-17","-19","",""
"03/12/2017","02:01:01","RWP0005","5.290","","","-6.50","2.00","-1.10","","","3","3","3","","","-20","-19","-6","",""
"03/12/2017","02:01:01","RWP0005","5.392","","","-2.50","-0.90","-8.90","","","2","3","2","","","-9","-11","-18","",""
"03/12/2017","02:01:01","RWP0005","5.493","","","-2.60","1.40","-1.20","","","2","4","4","","","-2","-15","1","",""
"03/12/2017","02:01:01","RWP0005","5.594","","","-2.30","-2.00","-3.60","","","3","3","3","","","-8","-16","-20","",""
"03/12/2017","02:01:01","RWP0005","5.695","","","-3.10","-1.20","-7.50","","","4","3","3","","","-15","-19","-18","",""
"03/12/2017","02:01:01","RWP0005","5.796","","","-2.90","-7.20","4.60","","","5","2","3","","","-18","-21","-18","",""
"03/12/2017","02:01:01","RWP0005","5.897","","","5.50","-9.70","1.50","","","2","2","4","","","-18","-20","-14","",""
"03/12/2017","02:01:01","RWP0005","5.999","","","-10.00","2.50","1.10","","","2","2","2","","","-19","-5","-14","",""
"03/12/2017","02:01:01","RWP0005","6.100","","","-1.20","-8.70","5.40","","","3","3","3","","","-21","-20","-18","",""
"03/12/2017","02:01:02","RWP0004","0.130","1.4","91","-0.10","0.10","-0.40","","","9","10","8","","","17","19","16","",""
"03/12/2017","02:01:02","RWP0004","0.231","3.1","103","-0.20","0.10","-1.00","","","9","10","9","","","21","19","16","",""
"03/12/2017","02:01:02","RWP0004","0.332","2.5","101","-0.20","0.10","-0.80","","","9","10","9","","","19","17","16","",""
"03/12/2017","02:01:02","RWP0004","0.434","3.7","116","-0.10","0.00","-1.10","","","9","10","9","","","16","15","14","",""
"03/12/2017","02:01:02","RWP0004","0.535","1.9","111","-0.10","0.00","-0.60","","","9","10","8","","","14","14","13","",""
"03/12/2017","02:01:02","RWP0004","0.636","6.6","118","0.00","0.20","-1.80","","","9","10","7","","","12","12","9","",""
"03/12/2017","02:01:02","RWP0004","0.737","2.9","107","-0.10","0.20","-0.80","","","9","10","10","","","11","11","10","",""
"03/12/2017","02:01:02","RWP0004","0.838","4.1","113","0.00","0.20","-1.10","","","9","10","10","","","8","9","8","",""
"03/12/2017","02:01:02","RWP0004","0.940","","","0.00","0.20","-0.30","","","9","10","5","","","9","9","8","",""
"03/12/2017","02:01:02","RWP0004","1.041","8.0","117","-0.10","0.20","-2.20","","","9","6","6","","","9","8","6","",""
"03/12/2017","02:01:02","RWP0004","1.142","7.8","120","-0.10","0.10","-2.20","","","9","6","6","","","7","6","5","",""
"03/12/2017","02:01:02","RWP0004","1.243","7.7","119","0.10","0.20","-2.00","","","9","7","7","","","5","5","2","",""
"03/12/2017","02:01:02","RWP0004","1.344","6.5","129","0.00","-0.20","-1.80","","","9","9","7","","","5","5","3","",""
"03/12/2017","02:01:02","RWP0004","1.445","2.8","138","0.20","0.00","-0.60","","","9","10","9","","","2","3","3","",""
"03/12/2017","02:01:02","RWP0004","1.547","2.8","110","0.10","0.30","-0.60","","","9","10","10","","","0","0","0","",""
"03/12/2017","02:01:02","RWP0004","1.648","3.6","105","0.10","0.40","-0.80","","","9","10","10","","","-2","-1","-2","",""
"03/12/2017","02:01:02","RWP0004","1.749","3.3","103","0.10","0.40","-0.70","","","9","10","10","","","-5","-4","-5","",""
"03/12/2017","02:01:02","RWP0004","1.850","3.4","76","-0.10","0.60","-0.70","","","9","10","10","","","-8","-6","-7","",""
"03/12/2017","02:01:02","RWP0004","1.951","3.5","72","0.10","0.70","-0.60","","","5","10","10","","","-12","-8","-10","",""
"03/12/2017","02:01:02","RWP0004","2.053","5.3","71","0.00","1.10","-0.90","","","6","8","7","","","-13","-10","-12","",""
"03/12/2017","02:01:02","RWP0004","2.154","","","0.00","1.10","-0.40","","","6","9","5","","","-14","-13","-13","",""
"03/12/2017","02:01:02","RWP0004","2.255","","","0.30","1.10","-0.30","","","6","8","4","","","-16","-14","-16","",""
"03/12/2017","02:01:02","RWP0004","2.356","","","0.80","1.20","-3.90","","","5","10","3","","","-17","-14","-19","",""
"03/12/2017","02:01:02","RWP0004","2.457","","","-4.60","1.10","2.10","","","3","8","2","","","-18","-15","-16","",""
"03/12/2017","02:01:02","RWP0004","2.558","","","-6.60","1.20","9.80","","","4","7","2","","","-20","-17","-22","",""
"03/12/2017","02:01:02","RWP0004","2.660","","","-2.70","0.80","1.30","","","2","5","3","","","-19","-17","-20","",""
"03/12/2017","02:01:02","RWP0004","2.761","","","8.50","0.90","-7.60","","","3","5","2","","","-20","-18","-20","",""
"03/12/2017","02:01:02","RWP0004","2.862","","","2.80","1.30","3.30","","","3","5","3","","","-21","-16","-17","",""
"03/12/2017","02:01:02","RWP0004","2.963","","","4.70","-7.00","1.90","","","3","2","3","","","-20","-14","-16","",""
"03/12/2017","02:01:02","RWP0004","3.064","","","7.10","-1.40","4.30","","","4","4","3","","","-21","-21","-19","",""
