"Event Date","Event Time","Tower Measurement Location","Height","Time Interval","Avg Wind Direction","Avg Wind Speed","Peak Wind Direction","Peak Wind Speed","Peak Wind Direction 10 Min","Peak Wind Speed 10 Min","Deviation","Temp","Temperature Difference","Dew Point","Relative Humidity","Barometric Pressure"
"03/04/2021","04:30:00","0313 NE  SW","162","5","352","14","353","17","345","18","7","","","","",""
"03/04/2021","04:30:00","0313 NE  SW","204","5","349","14","352","17","347","18","6","56.0","","53.4","91",""
"03/04/2021","04:30:00","0313 NE  SW","295","5","","","","","","","","","","","",""
"03/04/2021","04:30:00","0313 NE  SW","394","5","4","24","6","27","0","29","5","","","","",""
"03/04/2021","04:30:00","0313 NE  SW","492","5","","","","","","","","","","","93",""
"03/04/2021","04:30:00","0313 SW  SW","6","5","","","","","","","","57.0","","55.0","93",""
"03/04/2021","04:30:00","0313 SW  SW","12","5","359","7","349","12","349","12","17","","","","",""
"03/04/2021","04:30:00","0313 SW  SW","54","5","1","12","9","17","0","17","12","56.5","-0.5","53.9","91",""
"03/04/2021","04:30:00","0313 SW  SW","162","5","4","15","10","20","10","20","11","","","","",""
"03/04/2021","04:30:00","0313 SW  SW","204","5","358","15","2","19","357","19","9","56.0","","54.6","95",""
"03/04/2021","04:30:00","0313 SW  SW","295","5","","","","","","","","","","","",""
"03/04/2021","04:30:00","0313 SW  SW","394","5","","","","","","","","","","","",""
"03/04/2021","04:30:00","0313 SW  SW","492","5","","","","","","","","54.8","","","",""
"03/04/2021","04:30:00","0002 SE  NW","6","5","","","","","","","","58.2","","54.7","88",""
"03/04/2021","04:30:00","0002 SE  NW","12","5","347","5","348","11","348","11","16","","","","",""
"03/04/2021","04:30:00","0002 SE  NW","54","5","349","8","350","14","350","14","12","57.7","-0.5","54.5","89",""
"03/04/2021","04:30:00","0002 SE  NW","90","5","347","10","348","15","344","15","10","","","","",""
"03/04/2021","04:30:00","0002 SE  NW","145","5","348","11","0","14","351","16","9","","","","",""
"03/04/2021","04:30:00","0002 SE  NW","204","5","354","12","1","16","352","17","10","57.1","","55.1","93",""
"03/04/2021","04:30:00","0002 NW  NW","6","5","","","","","","","","58.2","","55.3","90",""
"03/04/2021","04:30:00","0002 NW  NW","12","5","347","5","345","11","345","11","16","","","","",""
"03/04/2021","04:30:00","0002 NW  NW","54","5","347","8","349","14","349","14","13","57.3","-0.9","54.1","89",""
"03/04/2021","04:30:00","0002 NW  NW","90","5","353","9","353","14","2","14","10","","","","",""
"03/04/2021","04:30:00","0002 NW  NW","145","5","352","11","351","15","346","16","11","","","","",""
"03/04/2021","04:30:00","0002 NW  NW","204","5","356","12","353","16","360","16","8","56.9","","54.0","90",""
"03/04/2021","04:30:00","0006 SE  NW","6","5","","","","","","","","57.9","","55.6","92",""
"03/04/2021","04:30:00","0006 SE  NW","12","5","328","3","350","6","336","7","28","","","","",""
"03/04/2021","04:30:00","0006 SE  NW","54","5","343","7","334","12","0","12","17","57.6","-0.3","","",""
"03/04/2021","04:30:00","0006 SE  NW","162","5","346","11","350","16","350","16","9","","","","",""
"03/04/2021","04:30:00","0006 SE  NW","204","5","349","12","350","16","350","16","10","56.9","","55.2","94",""
"03/04/2021","04:30:00","0006 NW  NW","6","5","","","","","","","","57.9","","55.3","91",""
"03/04/2021","04:30:00","0006 NW  NW","12","5","327","3","307","7","0","9","29","","","","",""
"03/04/2021","04:30:00","0006 NW  NW","54","5","350","6","353","12","353","12","19","57.2","-0.7","54.3","90",""
"03/04/2021","04:30:00","0006 NW  NW","162","5","349","11","356","16","356","16","10","","","","",""
"03/04/2021","04:30:00","0006 NW  NW","204","5","351","12","1","16","1","16","12","56.3","","53.7","91",""
"03/04/2021","04:30:00","0110 NW  NW","6","5","","","","","","","","58.4","","57.6","97",""
"03/04/2021","04:30:00","0110 NW  NW","12","5","355","3","5","9","6","9","30","","","","",""
"03/04/2021","04:30:00","0110 NW  NW","54","5","358","8","3","14","10","14","15","57.3","-1.1","57.3","100",""
"03/04/2021","04:30:00","0110 NW  NW","162","5","353","12","354","16","0","17","13","","","","",""
"03/04/2021","04:30:00","0110 NW  NW","204","5","349","13","354","16","347","19","8","56.6","","54.0","91",""
"03/04/2021","04:30:00","0110 SE  NW","6","5","","","","","","","","57.8","","57.5","99",""
"03/04/2021","04:30:00","0110 SE  NW","12","5","354","3","348","9","346","9","29","","","","",""
"03/04/2021","04:30:00","0110 SE  NW","54","5","353","8","353","14","15","15","15","57.7","-0.1","57.4","99",""
"03/04/2021","04:30:00","0110 SE  NW","162","5","343","12","343","17","340","18","9","","","","",""
"03/04/2021","04:30:00","0110 SE  NW","204","5","353","13","11","17","353","20","13","56.5","","54.2","92",""
"03/04/2021","04:35:00","SLC 40","150","5","","","","","","","","","","","",""
"03/04/2021","04:35:00","SLC 40","151","5","","","","","","","","","","","",""
"03/04/2021","04:35:00","SLC 40","152","5","","","","","","","","","","","",""
"03/04/2021","04:35:00","SLC 41","50","5","","","","","","","","","","","",""
"03/04/2021","04:35:00","SLC 41","51","5","","","","","","","","","","","",""
"03/04/2021","04:35:00","SLC 41","230","5","","","","","","","","","","","",""
"03/04/2021","04:35:00","SLC 41","231","5","","","","","","","","","","","",""
"03/04/2021","04:35:00","0313 NE  SW","6","5","","","","","","","","56.9","","53.4","88","1016.1"
"03/04/2021","04:35:00","0313 NE  SW","12","5","322","4","11","10","352","12","40","","","","",""
"03/04/2021","04:35:00","0313 NE  SW","54","5","350","9","358","14","355","16","9","56.3","-0.6","55.2","96",""
"03/04/2021","04:35:00","0313 NE  SW","162","5","346","11","353","14","353","17","7","","","","",""
"03/04/2021","04:35:00","0313 NE  SW","204","5","342","11","331","15","352","17","7","56.1","","53.5","91",""
"03/04/2021","04:35:00","0313 NE  SW","295","5","","","","","","","","","","","",""
"03/04/2021","04:35:00","0313 NE  SW","394","5","358","22","0","27","6","27","5","","","","",""
"03/04/2021","04:35:00","0313 NE  SW","492","5","","","","","","","","","","","94",""
"03/04/2021","04:35:00","0313 SW  SW","6","5","","","","","","","","57.1","","55.4","94",""
"03/04/2021","04:35:00","0313 SW  SW","12","5","354","5","228","11","349","12","18","","","","",""
"03/04/2021","04:35:00","0313 SW  SW","54","5","356","10","3","16","9","17","12","56.6","-0.5","54.3","92",""
"03/04/2021","04:35:00","0313 SW  SW","162","5","359","12","354","15","10","20","11","","","","",""
"03/04/2021","04:35:00","0313 SW  SW","204","5","351","12","342","16","2","19","8","56.1","","54.7","95",""
"03/04/2021","04:35:00","0313 SW  SW","295","5","","","","","","","","","","","",""
"03/04/2021","04:35:00","0313 SW  SW","394","5","","","","","","","","","","","",""
"03/04/2021","04:35:00","0313 SW  SW","492","5","","","","","","","","54.7","","","",""
"03/04/2021","04:35:00","0002 SE  NW","6","5","","","","","","","","58.1","","54.6","88",""
"03/04/2021","04:35:00","0002 SE  NW","12","5","347","5","347","11","348","11","16","","","","",""
"03/04/2021","04:35:00","0002 SE  NW","54","5","351","9","355","13","350","14","12","57.6","-0.5","54.4","89",""
"03/04/2021","04:35:00","0002 SE  NW","90","5","349","10","355","15","355","15","11","","","","",""
"03/04/2021","04:35:00","0002 SE  NW","145","5","348","11","355","16","355","16","9","","","","",""
"03/04/2021","04:35:00","0002 SE  NW","204","5","353","11","360","15","1","16","10","57.1","","55.1","93",""
"03/04/2021","04:35:00","0002 NW  NW","6","5","","","","","","","","58.2","","55.3","90",""
"03/04/2021","04:35:00","0002 NW  NW","12","5","345","5","352","11","352","11","16","","","","",""
"03/04/2021","04:35:00","0002 NW  NW","54","5","350","8","352","13","349","14","13","57.3","-0.9","54.1","89",""
"03/04/2021","04:35:00","0002 NW  NW","90","5","356","9","0","14","0","14","10","","","","",""
"03/04/2021","04:35:00","0002 NW  NW","145","5","352","10","355","15","351","15","11","","","","",""
"03/04/2021","04:35:00","0002 NW  NW","204","5","355","11","0","15","353","16","8","56.8","","54.2","91",""
"03/04/2021","04:35:00","0006 SE  NW","6","5","","","","","","","","57.9","","55.6","92",""
"03/04/2021","04:35:00","0006 SE  NW","12","5","332","2","326","9","326","9","27","","","","",""
"03/04/2021","04:35:00","0006 SE  NW","54","5","343","7","340","14","340","14","17","57.5","-0.4","","",""
"03/04/2021","04:35:00","0006 SE  NW","162","5","344","12","333","16","350","16","8","","","","",""
"03/04/2021","04:35:00","0006 SE  NW","204","5","346","13","337","16","350","16","9","56.7","","55.3","95",""
"03/04/2021","04:35:00","0006 NW  NW","6","5","","","","","","","","57.8","","55.2","91",""
"03/04/2021","04:35:00","0006 NW  NW","12","5","335","3","3","9","3","9","27","","","","",""
"03/04/2021","04:35:00","0006 NW  NW","54","5","351","6","347","13","347","13","18","57.1","-0.7","54.5","91",""
"03/04/2021","04:35:00","0006 NW  NW","162","5","347","12","0","15","356","16","10","","","","",""
"03/04/2021","04:35:00","0006 NW  NW","204","5","347","13","350","16","1","16","12","56.2","","53.9","92",""
"03/04/2021","04:35:00","0110 NW  NW","6","5","","","","","","","","58.4","","57.6","97",""
"03/04/2021","04:35:00","0110 NW  NW","12","5","342","4","0","11","0","11","31","","","","",""
"03/04/2021","04:35:00","0110 NW  NW","54","5","354","10","358","17","358","17","16","57.3","-1.1","57.3","100",""
"03/04/2021","04:35:00","0110 NW  NW","162","5","353","12","340","18","340","18","14","","","","",""
"03/04/2021","04:35:00","0110 NW  NW","204","5","348","13","348","18","348","18","8","56.7","","54.1","91",""
"03/04/2021","04:35:00","0110 SE  NW","6","5","","","","","","","","57.8","","57.5","99",""
"03/04/2021","04:35:00","0110 SE  NW","12","5","340","4","16","12","16","12","28","","","","",""
"03/04/2021","04:35:00","0110 SE  NW","54","5","348","10","346","17","346","17","14","57.7","-0.1","57.4","99",""
"03/04/2021","04:35:00","0110 SE  NW","162","5","343","13","339","18","339","18","8","","","","",""
"03/04/2021","04:35:00","0110 SE  NW","204","5","353","13","340","18","340","18","13","56.6","","54.3","92",""
"03/04/2021","04:40:00","SLC 40","150","5","","","","","","","","","","","",""
"03/04/2021","04:40:00","SLC 40","151","5","","","","","","","","","","","",""
"03/04/2021","04:40:00","SLC 40","152","5","","","","","","","","","","","",""
"03/04/2021","04:40:00","SLC 41","50","5","","","","","","","","","","","",""
"03/04/2021","04:40:00","SLC 41","51","5","","","","","","","","","","","",""
"03/04/2021","04:40:00","SLC 41","230","5","","","","","","","","","","","",""
"03/04/2021","04:40:00","SLC 41","231","5","","","","","","","","","","","",""
"03/04/2021","04:40:00","0313 NE  SW","6","5","","","","","","","","56.7","","53.2","88","1016.1"
"03/04/2021","04:40:00","0313 NE  SW","12","5","323","5","332","10","11","10","39","","","","",""
"03/04/2021","04:40:00","0313 NE  SW","54","5","345","11","342","14","342","14","9","56.1","-0.6","55.3","97",""
"03/04/2021","04:40:00","0313 NE  SW","162","5","342","13","334","17","334","17","8","","","","",""
"03/04/2021","04:40:00","0313 NE  SW","204","5","339","13","345","17","345","17","7","55.9","","53.6","92",""
"03/04/2021","04:40:00","0313 NE  SW","295","5","","","","","","","","","","","",""
"03/04/2021","04:40:00","0313 NE  SW","394","5","356","24","1","28","1","28","6","","","","",""
"03/04/2021","04:40:00","0313 NE  SW","492","5","","","","","","","","","","","94",""
"03/04/2021","04:40:00","0313 SW  SW","6","5","","","","","","","","57.0","","55.3","94",""
"03/04/2021","04:40:00","0313 SW  SW","12","5","349","6","351","10","228","11","18","","","","",""
"03/04/2021","04:40:00","0313 SW  SW","54","5","353","11","354","15","3","16","12","56.5","-0.5","54.2","92",""
"03/04/2021","04:40:00","0313 SW  SW","162","5","355","13","349","17","349","17","11","","","","",""
"03/04/2021","04:40:00","0313 SW  SW","204","5","349","14","351","18","351","18","10","56.1","","55.0","96",""
"03/04/2021","04:40:00","0313 SW  SW","295","5","","","","","","","","","","","",""
"03/04/2021","04:40:00","0313 SW  SW","394","5","","","","","","","","","","","",""
"03/04/2021","04:40:00","0313 SW  SW","492","5","","","","","","","","54.6","","","",""
"03/04/2021","04:40:00","0002 SE  NW","6","5","","","","","","","","58.1","","54.9","89",""
"03/04/2021","04:40:00","0002 SE  NW","12","5","343","6","337","10","347","11","17","","","","",""
"03/04/2021","04:40:00","0002 SE  NW","54","5","348","9","339","14","339","14","11","57.6","-0.5","54.7","90",""
"03/04/2021","04:40:00","0002 SE  NW","90","5","346","10","339","14","355","15","11","","","","",""
"03/04/2021","04:40:00","0002 SE  NW","145","5","347","11","271","15","355","16","10","","","","",""
"03/04/2021","04:40:00","0002 SE  NW","204","5","353","12","356","16","356","16","10","57.1","","55.4","94",""
"03/04/2021","04:40:00","0002 NW  NW","6","5","","","","","","","","58.1","","55.5","91",""
"03/04/2021","04:40:00","0002 NW  NW","12","5","343","6","319","10","352","11","16","","","","",""
"03/04/2021","04:40:00","0002 NW  NW","54","5","347","8","335","14","335","14","13","57.2","-0.9","54.3","90",""
"03/04/2021","04:40:00","0002 NW  NW","90","5","352","10","344","14","0","14","11","","","","",""
"03/04/2021","04:40:00","0002 NW  NW","145","5","351","10","351","14","355","15","12","","","","",""
"03/04/2021","04:40:00","0002 NW  NW","204","5","355","12","358","15","0","15","8","56.8","","54.5","92",""
"03/04/2021","04:40:00","0006 SE  NW","6","5","","","","","","","","57.7","","55.4","92",""
"03/04/2021","04:40:00","0006 SE  NW","12","5","331","3","313","8","326","9","27","","","","",""
"03/04/2021","04:40:00","0006 SE  NW","54","5","341","8","351","13","340","14","16","57.4","-0.3","","",""
"03/04/2021","04:40:00","0006 SE  NW","162","5","342","13","353","18","353","18","8","","","","",""
"03/04/2021","04:40:00","0006 SE  NW","204","5","345","13","347","17","347","17","9","56.5","","55.1","95",""
"03/04/2021","04:40:00","0006 NW  NW","6","5","","","","","","","","57.7","","55.1","91",""
"03/04/2021","04:40:00","0006 NW  NW","12","5","330","3","317","8","3","9","27","","","","",""
"03/04/2021","04:40:00","0006 NW  NW","54","5","351","7","336","12","347","13","18","56.9","-0.8","54.6","92",""
"03/04/2021","04:40:00","0006 NW  NW","162","5","346","12","353","16","353","16","10","","","","",""
"03/04/2021","04:40:00","0006 NW  NW","204","5","346","13","347","16","350","16","11","56.0","","54.0","93",""
"03/04/2021","04:40:00","0110 NW  NW","6","5","","","","","","","","58.5","","57.7","97",""
"03/04/2021","04:40:00","0110 NW  NW","12","5","350","3","310","11","0","11","31","","","","",""
"03/04/2021","04:40:00","0110 NW  NW","54","5","355","9","339","14","358","17","15","57.3","-1.2","57.3","100",""
"03/04/2021","04:40:00","0110 NW  NW","162","5","352","11","348","17","340","18","13","","","","",""
"03/04/2021","04:40:00","0110 NW  NW","204","5","347","12","343","16","348","18","8","56.7","","54.1","91",""
"03/04/2021","04:40:00","0110 SE  NW","6","5","","","","","","","","57.8","","57.5","99",""
"03/04/2021","04:40:00","0110 SE  NW","12","5","351","3","322","9","16","12","28","","","","",""
"03/04/2021","04:40:00","0110 SE  NW","54","5","351","9","344","14","346","17","14","57.7","-0.1","57.4","99",""
"03/04/2021","04:40:00","0110 SE  NW","162","5","341","12","350","17","339","18","8","","","","",""
"03/04/2021","04:40:00","0110 SE  NW","204","5","353","12","352","18","340","18","14","56.6","","54.3","92",""
"03/04/2021","04:45:00","SLC 40","150","5","","","","","","","","","","","",""
"03/04/2021","04:45:00","SLC 40","151","5","","","","","","","","","","","",""
"03/04/2021","04:45:00","SLC 40","152","5","","","","","","","","","","","",""
"03/04/2021","04:45:00","SLC 41","50","5","","","","","","","","","","","",""
"03/04/2021","04:45:00","SLC 41","51","5","","","","","","","","","","","",""
"03/04/2021","04:45:00","SLC 41","230","5","","","","","","","","","","","",""
"03/04/2021","04:45:00","SLC 41","231","5","","","","","","","","","","","",""
"03/04/2021","04:45:00","0313 NE  SW","6","5","","","","","","","","56.9","","53.4","88","1016.2"
"03/04/2021","04:45:00","0313 NE  SW","12","5","322","6","337","11","337","11","36","","","","",""
"03/04/2021","04:45:00","0313 NE  SW","54","5","343","11","352","14","352","14","10","56.3","-0.6","55.5","97",""
"03/04/2021","04:45:00","0313 NE  SW","162","5","339","14","335","17","335","17","8","","","","",""
"03/04/2021","04:45:00","0313 NE  SW","204","5","336","15","333","19","333","19","7","56.1","","53.8","92",""
"03/04/2021","04:45:00","0313 NE  SW","295","5","","","","","","","","","","","",""
"03/04/2021","04:45:00","0313 NE  SW","394","5","354","25","348","27","1","28","6","","","","",""
"03/04/2021","04:45:00","0313 NE  SW","492","5","","","","","","","","","","","94",""
"03/04/2021","04:45:00","0313 SW  SW","6","5","","","","","","","","57.1","","55.4","94",""
"03/04/2021","04:45:00","0313 SW  SW","12","5","344","6","0","12","0","12","18","","","","",""
"03/04/2021","04:45:00","0313 SW  SW","54","5","351","11","355","16","355","16","13","56.7","-0.4","54.4","92",""
"03/04/2021","04:45:00","0313 SW  SW","162","5","351","15","348","18","348","18","11","","","","",""
"03/04/2021","04:45:00","0313 SW  SW","204","5","346","16","344","18","351","18","9","56.2","","55.1","96",""
"03/04/2021","04:45:00","0313 SW  SW","295","5","","","","","","","","","","","",""
"03/04/2021","04:45:00","0313 SW  SW","394","5","","","","","","","","","","","",""
"03/04/2021","04:45:00","0313 SW  SW","492","5","","","","","","","","54.8","","","",""
"03/04/2021","04:45:00","0002 SE  NW","6","5","","","","","","","","58.1","","54.9","89",""
"03/04/2021","04:45:00","0002 SE  NW","12","5","338","5","10","9","337","10","17","","","","",""
"03/04/2021","04:45:00","0002 SE  NW","54","5","341","8","347","13","339","14","12","57.6","-0.5","54.7","90",""
"03/04/2021","04:45:00","0002 SE  NW","90","5","342","10","347","14","339","14","11","","","","",""
"03/04/2021","04:45:00","0002 SE  NW","145","5","342","11","346","15","346","15","10","","","","",""
"03/04/2021","04:45:00","0002 SE  NW","204","5","350","12","353","16","356","16","10","57.0","","55.3","94",""
"03/04/2021","04:45:00","0002 NW  NW","6","5","","","","","","","","58.2","","55.6","91",""
"03/04/2021","04:45:00","0002 NW  NW","12","5","337","5","314","9","319","10","16","","","","",""
"03/04/2021","04:45:00","0002 NW  NW","54","5","340","8","4","13","335","14","14","57.2","-1.0","54.3","90",""
"03/04/2021","04:45:00","0002 NW  NW","90","5","348","9","355","14","344","14","11","","","","",""
"03/04/2021","04:45:00","0002 NW  NW","145","5","347","10","352","15","352","15","12","","","","",""
"03/04/2021","04:45:00","0002 NW  NW","204","5","352","11","350","15","350","15","8","56.8","","54.5","92",""
"03/04/2021","04:45:00","0006 SE  NW","6","5","","","","","","","","57.7","","55.7","93",""
"03/04/2021","04:45:00","0006 SE  NW","12","5","322","3","324","9","324","9","27","","","","",""
"03/04/2021","04:45:00","0006 SE  NW","54","5","337","7","328","12","351","13","16","57.3","-0.4","","",""
"03/04/2021","04:45:00","0006 SE  NW","162","5","340","12","341","17","353","18","8","","","","",""
"03/04/2021","04:45:00","0006 SE  NW","204","5","343","13","340","17","340","17","9","56.6","","55.5","96",""
"03/04/2021","04:45:00","0006 NW  NW","6","5","","","","","","","","57.6","","55.3","92",""
"03/04/2021","04:45:00","0006 NW  NW","12","5","323","4","305","9","305","9","26","","","","",""
