"Event Date","Event Time","Mill Number","One Minute Mean"
"05/19/2022","18:58:00","31","67"
"05/19/2022","18:58:00","32","59"
"05/19/2022","18:58:00","34","46"
"05/19/2022","18:58:00","35","42"
"05/19/2022","18:59:00","1","50"
"05/19/2022","18:59:00","2","40"
"05/19/2022","18:59:00","4","51"
"05/19/2022","18:59:00","5","29"
"05/19/2022","18:59:00","6","31"
"05/19/2022","18:59:00","7","35"
"05/19/2022","18:59:00","8","52"
"05/19/2022","18:59:00","9","52"
"05/19/2022","18:59:00","10","30"
"05/19/2022","18:59:00","11","28"
"05/19/2022","18:59:00","12","35"
"05/19/2022","18:59:00","14","45"
"05/19/2022","18:59:00","15","32"
"05/19/2022","18:59:00","16","64"
"05/19/2022","18:59:00","17","27"
"05/19/2022","18:59:00","18","24"
"05/19/2022","18:59:00","19","28"
"05/19/2022","18:59:00","20","29"
"05/19/2022","18:59:00","21","28"
"05/19/2022","18:59:00","22","19"
"05/19/2022","18:59:00","24","33"
"05/19/2022","18:59:00","25","70"
"05/19/2022","18:59:00","26","61"
"05/19/2022","18:59:00","28","34"
"05/19/2022","18:59:00","29","44"
"05/19/2022","18:59:00","30","38"
"05/19/2022","18:59:00","31","63"
"05/19/2022","18:59:00","32","45"
"05/19/2022","18:59:00","34","43"
"05/19/2022","18:59:00","35","42"
"05/19/2022","19:00:00","1","53"
"05/19/2022","19:00:00","2","39"
"05/19/2022","19:00:00","4","50"
"05/19/2022","19:00:00","5","28"
"05/19/2022","19:00:00","6","29"
"05/19/2022","19:00:00","7","37"
"05/19/2022","19:00:00","8","50"
"05/19/2022","19:00:00","9","50"
"05/19/2022","19:00:00","10","29"
"05/19/2022","19:00:00","11","29"
"05/19/2022","19:00:00","12","38"
"05/19/2022","19:00:00","14","44"
"05/19/2022","19:00:00","15","34"
"05/19/2022","19:00:00","16","55"
"05/19/2022","19:00:00","17","27"
"05/19/2022","19:00:00","18","23"
"05/19/2022","19:00:00","19","29"
"05/19/2022","19:00:00","20","28"
"05/19/2022","19:00:00","21","30"
"05/19/2022","19:00:00","22","21"
"05/19/2022","19:00:00","24","32"
"05/19/2022","19:00:00","25","72"
"05/19/2022","19:00:00","26","61"
"05/19/2022","19:00:00","28","38"
"05/19/2022","19:00:00","29","46"
"05/19/2022","19:00:00","30","38"
"05/19/2022","19:00:00","31","54"
"05/19/2022","19:00:00","32","42"
"05/19/2022","19:00:00","34","43"
"05/19/2022","19:00:00","35","38"
"05/19/2022","19:01:00","1","53"
"05/19/2022","19:01:00","2","37"
"05/19/2022","19:01:00","4","49"
"05/19/2022","19:01:00","5","30"
"05/19/2022","19:01:00","6","31"
"05/19/2022","19:01:00","7","37"
"05/19/2022","19:01:00","8","48"
"05/19/2022","19:01:00","9","51"
"05/19/2022","19:01:00","10","29"
"05/19/2022","19:01:00","11","28"
"05/19/2022","19:01:00","12","38"
"05/19/2022","19:01:00","14","44"
"05/19/2022","19:01:00","15","35"
"05/19/2022","19:01:00","16","54"
"05/19/2022","19:01:00","17","25"
"05/19/2022","19:01:00","18","23"
"05/19/2022","19:01:00","19","30"
"05/19/2022","19:01:00","20","27"
"05/19/2022","19:01:00","21","23"
"05/19/2022","19:01:00","22","20"
"05/19/2022","19:01:00","24","32"
"05/19/2022","19:01:00","25","67"
"05/19/2022","19:01:00","26","63"
"05/19/2022","19:01:00","28","40"
