"Event Date","Event Time","Altitude","Wind Direction","Wind Speed","Wind Shear","WW","S1","S2","S3","N1","N2","N3","WID1","WID2","WID3","G1","G2","QC"
"04/07/2021","12:34:00","1795","67","9.2","0.000","0.00","115.8","115.5","115.7","57.2","59.3","58.4","0.70","0.80","0.75","0","0","1"
"04/07/2021","12:34:00","1944","69","9.6","0.003","0.01","113.4","113.3","113.4","57.1","59.2","58.2","0.60","0.80","0.71","0","0","1"
"04/07/2021","12:34:00","2093","67","9.6","0.002","0.05","118.8","118.9","118.8","57.0","59.2","58.2","0.80","0.80","0.77","0","0","1"
"04/07/2021","12:34:00","2243","68","9.1","0.004","-0.02","119.1","118.9","119.0","57.1","59.2","58.3","0.60","0.90","0.75","0","0","1"
"04/07/2021","12:34:00","2392","63","4.7","0.030","0.15","111.5","109.3","110.5","57.8","59.3","58.6","0.70","1.10","0.92","0","0","1"
"04/07/2021","12:34:00","2542","36","1.2","0.024","0.07","98.5","101.0","99.9","58.5","60.0","59.3","0.50","0.50","0.51","0","0","1"
"04/07/2021","12:34:00","2691","10","1.1","0.004","0.03","110.0","111.0","110.5","59.2","60.6","60.0","0.30","0.40","0.36","0","0","1"
"04/07/2021","12:34:00","2841","3","1.2","0.001","0.01","109.6","108.3","109.0","59.1","60.6","59.9","0.40","0.40","0.39","0","0","1"
"04/07/2021","12:34:00","2990","357","1.5","0.002","0.04","108.1","106.4","107.3","59.1","60.6","59.9","0.40","0.50","0.44","0","0","1"
"04/07/2021","12:34:00","3140","325","1.0","0.005","0.03","104.0","101.9","103.1","59.1","60.6","59.9","0.40","0.70","0.56","0","0","1"
"04/07/2021","12:34:00","3289","253","2.3","0.014","0.06","102.8","98.7","101.2","59.1","60.6","59.9","0.40","0.60","0.50","0","0","1"
"04/07/2021","12:34:00","3439","262","2.2","0.002","0.03","104.3","98.2","102.2","59.1","60.6","59.9","0.50","0.70","0.58","0","0","1"
"04/07/2021","12:34:00","3588","304","2.2","0.011","0.11","99.3","96.3","98.0","59.1","60.6","59.9","0.40","0.50","0.46","0","0","1"
"04/07/2021","12:34:00","3737","309","2.1","0.001","0.11","94.0","89.4","92.3","59.1","60.6","59.9","0.40","0.60","0.48","0","0","1"
"04/07/2021","12:34:00","3887","305","2.2","0.001","0.07","86.9","81.3","84.9","59.1","60.6","59.9","0.50","0.70","0.58","0","0","1"
"04/07/2021","12:34:00","4036","327","3.3","0.010","0.05","83.9","81.4","82.8","59.1","60.6","59.9","0.30","0.50","0.42","0","0","1"
"04/07/2021","12:34:00","4186","332","3.9","0.005","-0.02","80.5","80.1","80.3","59.1","60.6","59.9","0.40","0.50","0.42","0","0","1"
"04/07/2021","12:34:00","4335","338","5.2","0.009","0.07","85.4","83.9","84.7","59.1","60.6","59.9","0.30","0.50","0.38","0","0","1"
"04/07/2021","12:34:00","4485","340","5.4","0.002","0.10","85.6","84.1","84.9","59.1","60.5","59.9","0.30","0.40","0.33","0","0","1"
"04/07/2021","12:34:00","4634","339","5.3","0.001","0.06","85.8","85.6","85.7","59.1","60.6","59.9","0.30","0.40","0.32","0","0","1"
"04/07/2021","12:34:00","4784","336","5.2","0.002","0.05","84.2","84.2","84.2","59.1","60.5","59.9","0.30","0.50","0.40","0","0","1"
"04/07/2021","12:34:00","4933","332","5.0","0.003","0.07","85.3","84.5","84.9","59.1","60.6","59.9","0.30","0.50","0.38","0","0","1"
"04/07/2021","12:34:00","5083","323","5.6","0.007","0.02","83.5","85.6","84.7","59.0","60.6","59.9","0.40","0.40","0.42","0","0","1"
