"Julian Date","Event Date","Event Time","Altitude","Wind Direction","Wind Speed","Wind Shear","Temperature","Dew Point","Pressure","Relative Humidity","AbsoluteHumidity","Density","IndexOfRefraction","VelocityOfSound","SaturationVaporPressure","PrecipitableWater"
"22139","05/19/2022","19:35:00","16","80","5.0","0.000","29.5","23.2","1014.00","69","20.37","1154.80","376","682","28.46","0"
"22139","05/19/2022","19:35:00","1000","312","2.5","0.012","27.0","20.6","980.34","68","17.56","1127.17","354","679","24.32","6"
"22139","05/19/2022","19:35:00","2000","266","5.9","0.008","24.8","19.1","947.17","71","16.05","1097.70","339","676","22.07","11"
"22139","05/19/2022","19:35:00","3000","263","9.6","0.006","22.2","17.5","914.85","75","14.65","1070.18","326","673","19.97","16"
"22139","05/19/2022","19:35:00","4000","242","10.0","0.006","20.4","14.0","883.36","67","11.82","1041.16","303","670","16.02","20"
"22139","05/19/2022","19:35:00","5000","229","11.4","0.005","18.6","11.1","852.76","62","9.79","1012.32","285","668","13.18","23"
"22139","05/19/2022","19:35:00","6000","212","12.3","0.006","16.3","9.6","822.98","65","8.95","985.08","274","665","11.96","26"
"22139","05/19/2022","19:35:00","7000","202","7.7","0.008","13.8","8.4","794.00","70","8.34","958.90","265","662","11.05","29"
"22139","05/19/2022","19:35:00","8000","212","10.3","0.005","12.4","5.6","765.84","63","6.90","930.15","250","660","9.09","31"
"22139","05/19/2022","19:35:00","9000","220","10.7","0.003","10.0","4.1","738.50","67","6.26","904.81","240","657","8.18","33"
"22139","05/19/2022","19:35:00","10000","216","9.7","0.002","7.4","3.7","711.89","77","6.14","880.27","235","654","7.95","35"
"22139","05/19/2022","19:35:00","11000","225","6.0","0.007","5.9","1.1","686.03","71","5.14","853.35","222","652","6.61","37"
"22139","05/19/2022","19:35:00","12000","228","4.7","0.002","4.7","-1.8","661.03","63","4.17","826.28","210","651","5.35","38"
"22139","05/19/2022","19:35:00","13000","207","6.2","0.004","2.5","-3.1","636.76","66","3.82","802.44","203","648","4.86","39"
"22139","05/19/2022","19:35:00","14000","215","5.6","0.002","1.3","-20.4","613.23","18","0.95","777.84","179","646","1.20","40"
"22139","05/19/2022","19:35:00","15000","236","8.1","0.006","-0.2","-42.7","590.43","2","0.11","753.53","169","644","0.14","40"
"22139","05/19/2022","19:35:00","16000","274","16.7","0.019","-1.7","-24.2","568.35","16","0.69","729.01","167","642","0.86","40"
"22139","05/19/2022","19:35:00","17000","260","11.7","0.010","-3.3","-25.8","547.00","16","0.60","705.82","161","640","0.74","40"
"22139","05/19/2022","19:35:00","18000","262","12.9","0.002","-4.8","-27.8","526.33","14","0.50","683.00","155","639","0.62","41"
"22139","05/19/2022","19:35:00","19000","278","9.5","0.008","-7.4","-26.8","506.29","19","0.55","663.37","151","636","0.68","41"
"22139","05/19/2022","19:35:00","20000","272","13.7","0.007","-9.4","-26.6","486.86","23","0.57","642.73","147","633","0.69","41"
"22139","05/19/2022","19:35:00","21000","268","15.2","0.003","-11.6","-31.7","468.01","17","0.35","623.17","141","631","0.43","41"
"22139","05/19/2022","19:35:00","22000","275","18.3","0.006","-13.9","-31.0","449.75","22","0.38","604.14","137","628","0.45","41"
"22139","05/19/2022","19:35:00","23000","264","19.9","0.007","-16.5","-31.1","432.04","27","0.38","586.22","133","625","0.45","41"
"22139","05/19/2022","19:35:00","24000","261","21.3","0.003","-19.1","-32.7","414.85","29","0.33","568.68","129","621","0.39","41"
"22139","05/19/2022","19:35:00","25000","264","22.1","0.003","-21.6","-35.0","398.19","29","0.27","551.30","125","618","0.31","41"
"22139","05/19/2022","19:35:00","26000","264","26.6","0.007","-23.4","-38.9","382.06","22","0.18","532.84","120","616","0.21","41"
"22139","05/19/2022","19:35:00","27000","252","31.3","0.013","-25.3","-36.6","366.47","34","0.23","514.97","116","614","0.26","42"
"22139","05/19/2022","19:35:00","28000","251","32.1","0.001","-27.3","-33.9","351.41","53","0.30","497.77","113","611","0.34","42"
"22139","05/19/2022","19:35:00","29000","254","35.6","0.006","-29.7","-36.1","336.84","53","0.25","481.87","109","608","0.28","42"
"22139","05/19/2022","19:35:00","30000","258","39.7","0.009","-32.2","-43.2","322.74","32","0.12","466.56","105","605","0.13","42"
"22139","05/19/2022","19:35:00","31000","263","41.9","0.007","-35.1","-41.3","309.08","53","0.15","452.24","102","601","0.16","42"
"22139","05/19/2022","19:35:00","32000","267","41.0","0.005","-36.8","-42.4","295.87","56","0.13","436.03","98","599","0.14","42"
"22139","05/19/2022","19:35:00","33000","268","36.4","0.008","-39.1","-44.9","283.13","54","0.10","421.37","95","596","0.11","42"
"22139","05/19/2022","19:35:00","34000","264","35.5","0.005","-41.5","-48.0","270.82","49","0.07","407.24","91","593","0.08","42"
"22139","05/19/2022","19:35:00","35000","260","35.4","0.004","-44.2","-50.3","258.91","50","0.06","393.93","88","590","0.06","42"
"22139","05/19/2022","19:35:00","36000","256","34.6","0.004","-46.7","-53.0","247.40","48","0.04","380.58","85","587","0.04","42"
