"Event Date","Event Time","Profiler","Height","Speed","Direction","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5"
"07/30/2020","08:01:04","RWP0004","0.130","","","2.30","2.30","2.30","","","6","6","5","","","13","12","13","",""
"07/30/2020","08:01:04","RWP0004","0.231","","","0.00","-2.30","0.00","","","9","4","8","","","15","13","15","",""
"07/30/2020","08:01:04","RWP0004","0.332","1.4","175","0.00","-0.30","-0.20","","","9","10","9","","","15","16","16","",""
"07/30/2020","08:01:04","RWP0004","0.434","3.2","186","0.10","-0.70","-0.30","","","9","10","9","","","15","16","16","",""
"07/30/2020","08:01:04","RWP0004","0.535","4.4","190","0.10","-0.90","-0.30","","","9","10","9","","","12","15","14","",""
"07/30/2020","08:01:04","RWP0004","0.636","3.3","191","0.10","-0.70","-0.30","","","9","10","9","","","8","12","11","",""
"07/30/2020","08:01:04","RWP0004","0.737","2.8","197","0.00","-0.70","-0.20","","","9","10","9","","","7","10","8","",""
"07/30/2020","08:01:04","RWP0004","0.838","2.7","201","-0.10","-0.80","-0.20","","","9","10","9","","","6","7","5","",""
"07/30/2020","08:01:04","RWP0004","0.940","1.8","203","0.00","-0.50","-0.10","","","9","10","9","","","5","9","3","",""
"07/30/2020","08:01:04","RWP0004","1.041","1.8","215","0.00","-0.50","0.00","","","9","10","9","","","4","9","2","",""
"07/30/2020","08:01:04","RWP0004","1.142","2.2","225","0.00","-0.60","0.10","","","9","10","9","","","3","7","4","",""
"07/30/2020","08:01:04","RWP0004","1.243","2.2","219","0.10","-0.50","0.10","","","9","10","9","","","1","6","4","",""
"07/30/2020","08:01:04","RWP0004","1.344","3.0","213","0.20","-0.60","0.20","","","9","10","9","","","-1","2","-1","",""
"07/30/2020","08:01:04","RWP0004","1.445","1.7","248","0.00","-0.30","0.30","","","9","10","9","","","-1","-1","-6","",""
"07/30/2020","08:01:04","RWP0004","1.547","0.8","231","0.00","-0.20","0.10","","","9","10","9","","","3","4","-2","",""
"07/30/2020","08:01:04","RWP0004","1.648","0.8","188","0.00","-0.20","-0.10","","","9","10","9","","","2","7","2","",""
"07/30/2020","08:01:04","RWP0004","1.749","1.0","183","0.10","-0.20","-0.10","","","9","10","9","","","-2","5","0","",""
"07/30/2020","08:01:04","RWP0004","1.850","1.5","167","0.20","-0.10","-0.10","","","9","10","8","","","-3","0","-5","",""
"07/30/2020","08:01:04","RWP0004","1.951","1.8","170","0.20","-0.20","-0.20","","","9","10","8","","","-6","-5","-8","",""
"07/30/2020","08:01:04","RWP0004","2.053","2.4","188","0.40","-0.20","0.10","","","9","10","8","","","-10","-9","-9","",""
"07/30/2020","08:01:04","RWP0004","2.154","2.6","226","0.30","-0.40","0.50","","","8","10","8","","","-9","-8","-9","",""
"07/30/2020","08:01:04","RWP0004","2.255","2.1","251","0.20","-0.30","0.50","","","7","10","9","","","-7","-3","-4","",""
"07/30/2020","08:01:04","RWP0004","2.356","2.5","262","0.20","-0.20","0.70","","","7","10","9","","","-9","-3","-5","",""
"07/30/2020","08:01:04","RWP0004","2.457","2.9","295","-0.10","-0.20","0.70","","","8","10","9","","","-12","-7","-8","",""
"07/30/2020","08:01:04","RWP0004","2.558","2.2","253","0.30","-0.20","0.70","","","6","10","9","","","-13","-13","-10","",""
"07/30/2020","08:01:04","RWP0004","2.660","2.4","264","0.40","0.00","0.90","","","8","8","9","","","-14","-16","-13","",""
"07/30/2020","08:01:04","RWP0004","2.761","","","0.20","0.00","1.30","","","9","4","7","","","-8","-13","-13","",""
"07/30/2020","08:01:04","RWP0004","2.862","4.2","301","0.20","0.10","1.30","","","9","8","8","","","-4","-12","-7","",""
"07/30/2020","08:01:04","RWP0004","2.963","4.1","295","0.20","0.00","1.30","","","9","9","9","","","-5","-8","-4","",""
"07/30/2020","08:01:04","RWP0004","3.064","4.0","297","0.30","0.10","1.30","","","9","9","9","","","-8","-8","-4","",""
"07/30/2020","08:01:04","RWP0004","3.166","4.0","278","0.30","-0.20","1.20","","","9","9","9","","","-7","-9","-8","",""
"07/30/2020","08:01:04","RWP0004","3.267","4.3","261","0.30","-0.50","1.10","","","9","10","9","","","-8","-4","-6","",""
"07/30/2020","08:01:04","RWP0004","3.368","4.6","260","0.30","-0.60","1.20","","","9","10","9","","","-9","-2","-5","",""
"07/30/2020","08:01:04","RWP0004","3.469","4.8","258","0.40","-0.60","1.20","","","8","10","9","","","-10","-3","-6","",""
"07/30/2020","08:01:04","RWP0004","3.570","4.6","265","0.30","-0.50","1.20","","","9","10","9","","","-7","-5","-9","",""
"07/30/2020","08:01:04","RWP0004","3.671","3.8","263","0.20","-0.50","1.00","","","9","10","9","","","-6","-3","-8","",""
"07/30/2020","08:01:04","RWP0004","3.773","4.1","259","0.30","-0.50","1.00","","","9","10","9","","","-10","-3","-5","",""
"07/30/2020","08:01:04","RWP0004","3.874","5.1","240","0.60","-0.60","1.20","","","9","10","9","","","-16","-6","-7","",""
"07/30/2020","08:01:04","RWP0004","3.975","5.3","268","-5.60","-0.80","1.20","","","3","10","8","","","-20","-11","-12","",""
"07/30/2020","08:01:04","RWP0004","4.076","5.6","268","3.30","-0.90","1.20","","","4","6","6","","","-19","-17","-17","",""
"07/30/2020","08:01:04","RWP0004","4.177","","","-2.00","-3.90","1.70","","","4","4","3","","","-19","-19","-19","",""
"07/30/2020","08:01:04","RWP0004","4.279","","","-3.70","-1.10","3.10","","","3","3","3","","","-14","-21","-18","",""
