"Julian Date","Event Date","Event Time","Altitude","Wind Direction","Wind Speed","Wind Shear","Temperature","Dew Point","Pressure","Relative Humidity","AbsoluteHumidity","Density","IndexOfRefraction","VelocityOfSound","SaturationVaporPressure","PrecipitableWater"
"20027","01/27/2020","11:14:00","13000","278","35.6","0.018","-3.1","-5.4","626.75","84","3.28","806.54","201","641","4.09","19"
"20027","01/27/2020","11:14:00","14000","295","46.6","0.028","-3.5","-13.3","603.16","47","1.77","778.19","185","641","2.20","20"
"20027","01/27/2020","11:14:00","15000","294","52.9","0.011","-6.0","-16.0","580.31","45","1.42","755.89","178","637","1.75","20"
"20027","01/27/2020","11:14:00","16000","295","54.1","0.002","-9.0","-17.1","558.10","52","1.31","735.27","173","634","1.60","20"
"20027","01/27/2020","11:14:00","17000","288","57.4","0.012","-11.8","-16.9","536.52","65","1.34","714.36","168","631","1.62","21"
"20027","01/27/2020","11:14:00","18000","275","63.2","0.026","-12.3","-14.7","515.62","82","1.63","687.65","164","630","1.96","21"
"20027","01/27/2020","11:14:00","19000","263","55.1","0.024","-13.5","-15.0","495.52","88","1.59","663.88","159","629","1.90","22"
"20027","01/27/2020","11:14:00","20000","260","53.6","0.006","-15.2","-16.6","476.07","89","1.39","642.12","153","626","1.66","22"
"20027","01/27/2020","11:14:00","21000","255","57.1","0.010","-17.0","-18.8","457.26","86","1.17","621.20","146","624","1.38","23"
"20027","01/27/2020","11:14:00","22000","248","59.9","0.012","-18.7","-20.7","439.09","84","1.00","600.57","141","622","1.18","23"
"20027","01/27/2020","11:14:00","23000","245","67.2","0.014","-20.1","-22.2","421.53","83","0.88","579.80","135","620","1.02","23"
"20027","01/27/2020","11:14:00","24000","245","68.8","0.003","-22.4","-24.8","404.54","81","0.71","561.62","130","617","0.82","24"
"20027","01/27/2020","11:14:00","25000","244","70.3","0.003","-24.8","-27.3","388.09","80","0.56","544.07","125","614","0.65","24"
"20027","01/27/2020","11:14:00","26000","244","70.5","0.002","-27.2","-30.0","372.16","77","0.44","526.88","121","611","0.50","24"
"20027","01/27/2020","11:14:00","27000","246","74.2","0.007","-29.7","-32.6","356.73","76","0.35","510.27","116","608","0.39","24"
"20027","01/27/2020","11:14:00","28000","249","81.2","0.013","-31.9","-34.8","341.80","76","0.28","493.41","112","606","0.32","24"
"20027","01/27/2020","11:14:00","29000","254","88.1","0.017","-34.3","-37.6","327.36","72","0.21","477.35","108","603","0.24","24"
"20027","01/27/2020","11:14:00","30000","257","97.3","0.018","-36.3","-38.9","313.40","77","0.19","460.87","104","600","0.21","24"
"20027","01/27/2020","11:14:00","31000","262","104.9","0.020","-38.5","-40.7","299.94","79","0.16","445.21","100","597","0.17","24"
"20027","01/27/2020","11:14:00","32000","266","114.3","0.020","-40.4","-43.7","286.93","70","0.12","429.41","97","595","0.12","24"
"20027","01/27/2020","11:14:00","33000","268","119.4","0.010","-42.9","-47.6","274.38","59","0.08","415.10","93","592","0.08","24"
"20027","01/27/2020","11:14:00","34000","270","129.4","0.019","-45.0","-51.1","262.26","50","0.05","400.43","90","589","0.05","24"
"20027","01/27/2020","11:14:00","35000","266","133.5","0.014","-47.3","-52.3","250.56","56","0.04","386.47","86","586","0.05","24"
"20027","01/27/2020","11:14:00","36000","263","133.9","0.013","-49.3","-56.2","239.28","44","0.03","372.38","83","583","0.03","24"
"20027","01/27/2020","11:14:00","37000","261","137.2","0.010","-51.7","-58.8","228.40","42","0.02","359.31","80","580","0.02","24"
"20027","01/27/2020","11:14:00","38000","259","136.4","0.007","-54.1","-62.8","217.92","33","0.01","346.58","77","577","0.01","24"
"20027","01/27/2020","11:14:00","39000","264","135.3","0.018","-56.6","-63.7","207.80","39","0.01","334.30","75","574","0.01","24"
"20027","01/27/2020","11:14:00","40000","269","130.4","0.023","-56.9","-66.7","198.09","27","0.01","319.12","71","573","0.01","24"
"20027","01/27/2020","11:14:00","41000","268","115.4","0.025","-56.4","-70.3","188.84","15","0.00","303.52","68","574","0.00","24"
"20027","01/27/2020","11:14:00","42000","266","101.3","0.025","-54.1","-72.1","180.11","9","0.00","286.44","64","577","0.00","24"
"20027","01/27/2020","11:14:00","43000","262","97.9","0.011","-56.0","-72.9","171.76","10","0.00","275.56","61","574","0.00","24"
"20027","01/27/2020","11:14:00","44000","265","97.5","0.006","-57.2","-74.7","163.73","9","0.00","264.14","59","573","0.00","24"
"20027","01/27/2020","11:14:00","45000","273","87.4","0.029","-57.3","-74.2","156.07","9","0.00","251.90","56","573","0.00","24"
"20027","01/27/2020","11:14:00","46000","275","84.5","0.006","-58.6","-75.8","148.75","9","0.00","241.53","54","571","0.00","24"
"20027","01/27/2020","11:14:00","47000","273","74.8","0.017","-60.0","-78.0","141.73","7","0.00","231.64","52","569","0.00","24"
"20027","01/27/2020","11:14:00","48000","273","76.3","0.003","-61.4","","134.99","","","222.09","49","567","0.00",""
"20027","01/27/2020","11:14:00","49000","270","71.9","0.010","-62.7","","128.53","","","212.77","47","565","0.00",""
"20027","01/27/2020","11:14:00","50000","269","65.2","0.011","-63.3","","122.36","","","203.14","45","565","0.00",""
