"Event Date","Event Time","Mill Number","One Minute Mean"
"09/09/2018","00:45:00","1","273"
"09/09/2018","00:45:00","4","248"
"09/09/2018","00:45:00","5","89"
"09/09/2018","00:45:00","6","76"
"09/09/2018","00:45:00","7","102"
"09/09/2018","00:45:00","8","176"
"09/09/2018","00:45:00","9","185"
"09/09/2018","00:45:00","10","91"
"09/09/2018","00:45:00","11","124"
"09/09/2018","00:45:00","12","104"
"09/09/2018","00:45:00","13","201"
"09/09/2018","00:45:00","14","144"
"09/09/2018","00:45:00","15","80"
"09/09/2018","00:45:00","16","319"
"09/09/2018","00:45:00","17","49"
"09/09/2018","00:45:00","19","95"
"09/09/2018","00:45:00","20","102"
"09/09/2018","00:45:00","21","80"
"09/09/2018","00:45:00","22","74"
"09/09/2018","00:45:00","24","108"
"09/09/2018","00:45:00","25","155"
"09/09/2018","00:45:00","26","118"
"09/09/2018","00:45:00","27","86"
"09/09/2018","00:45:00","28","132"
"09/09/2018","00:45:00","29","94"
"09/09/2018","00:45:00","30","117"
"09/09/2018","00:45:00","31","176"
"09/09/2018","00:45:00","32","202"
"09/09/2018","00:45:00","34","183"
"09/09/2018","00:46:00","1","364"
"09/09/2018","00:46:00","4","261"
"09/09/2018","00:46:00","5","91"
"09/09/2018","00:46:00","6","74"
"09/09/2018","00:46:00","7","97"
"09/09/2018","00:46:00","8","172"
"09/09/2018","00:46:00","9","172"
"09/09/2018","00:46:00","10","89"
"09/09/2018","00:46:00","11","118"
"09/09/2018","00:46:00","12","102"
"09/09/2018","00:46:00","13","191"
"09/09/2018","00:46:00","14","143"
"09/09/2018","00:46:00","15","85"
"09/09/2018","00:46:00","16","253"
"09/09/2018","00:46:00","17","50"
"09/09/2018","00:46:00","19","102"
"09/09/2018","00:46:00","20","103"
"09/09/2018","00:46:00","21","70"
"09/09/2018","00:46:00","22","76"
"09/09/2018","00:46:00","24","108"
"09/09/2018","00:46:00","25","145"
"09/09/2018","00:46:00","26","114"
"09/09/2018","00:46:00","27","86"
"09/09/2018","00:46:00","28","158"
"09/09/2018","00:46:00","29","101"
"09/09/2018","00:46:00","30","115"
"09/09/2018","00:46:00","31","177"
"09/09/2018","00:46:00","32","207"
"09/09/2018","00:46:00","34","168"
"09/09/2018","00:47:00","1","290"
"09/09/2018","00:47:00","4","288"
"09/09/2018","00:47:00","5","81"
"09/09/2018","00:47:00","6","75"
"09/09/2018","00:47:00","7","95"
"09/09/2018","00:47:00","8","169"
"09/09/2018","00:47:00","9","169"
"09/09/2018","00:47:00","10","94"
"09/09/2018","00:47:00","11","113"
"09/09/2018","00:47:00","12","104"
"09/09/2018","00:47:00","13","175"
"09/09/2018","00:47:00","14","127"
"09/09/2018","00:47:00","15","84"
"09/09/2018","00:47:00","16","282"
"09/09/2018","00:47:00","17","52"
"09/09/2018","00:47:00","19","100"
"09/09/2018","00:47:00","20","102"
"09/09/2018","00:47:00","21","79"
"09/09/2018","00:47:00","22","71"
"09/09/2018","00:47:00","24","100"
"09/09/2018","00:47:00","25","144"
"09/09/2018","00:47:00","26","107"
"09/09/2018","00:47:00","27","85"
"09/09/2018","00:47:00","28","141"
"09/09/2018","00:47:00","29","111"
"09/09/2018","00:47:00","30","107"
"09/09/2018","00:47:00","31","170"
"09/09/2018","00:47:00","32","202"
"09/09/2018","00:47:00","34","165"
"09/09/2018","00:48:00","1","213"
"09/09/2018","00:48:00","4","227"
"09/09/2018","00:48:00","5","76"
"09/09/2018","00:48:00","6","79"
"09/09/2018","00:48:00","7","93"
"09/09/2018","00:48:00","8","178"
"09/09/2018","00:48:00","9","170"
"09/09/2018","00:48:00","10","98"
"09/09/2018","00:48:00","11","106"
"09/09/2018","00:48:00","12","117"
"09/09/2018","00:48:00","13","150"
"09/09/2018","00:48:00","14","114"
"09/09/2018","00:48:00","15","80"
"09/09/2018","00:48:00","16","272"
"09/09/2018","00:48:00","17","52"
"09/09/2018","00:48:00","19","101"
"09/09/2018","00:48:00","20","87"
"09/09/2018","00:48:00","21","85"
"09/09/2018","00:48:00","22","68"
"09/09/2018","00:48:00","24","102"
"09/09/2018","00:48:00","25","124"
"09/09/2018","00:48:00","26","105"
"09/09/2018","00:48:00","27","82"
"09/09/2018","00:48:00","28","127"
"09/09/2018","00:48:00","29","142"
"09/09/2018","00:48:00","30","115"
"09/09/2018","00:48:00","31","179"
"09/09/2018","00:48:00","32","207"
"09/09/2018","00:48:00","34","153"
"09/09/2018","00:49:00","1","215"
"09/09/2018","00:49:00","4","193"
"09/09/2018","00:49:00","5","71"
"09/09/2018","00:49:00","6","78"
"09/09/2018","00:49:00","7","92"
"09/09/2018","00:49:00","8","130"
"09/09/2018","00:49:00","9","173"
"09/09/2018","00:49:00","10","100"
"09/09/2018","00:49:00","11","100"
"09/09/2018","00:49:00","12","117"
"09/09/2018","00:49:00","13","140"
"09/09/2018","00:49:00","14","114"
"09/09/2018","00:49:00","15","74"
"09/09/2018","00:49:00","16","316"
"09/09/2018","00:49:00","17","54"
"09/09/2018","00:49:00","19","99"
"09/09/2018","00:49:00","20","88"
"09/09/2018","00:49:00","21","99"
"09/09/2018","00:49:00","22","69"
"09/09/2018","00:49:00","24","99"
"09/09/2018","00:49:00","25","127"
"09/09/2018","00:49:00","26","105"
"09/09/2018","00:49:00","27","91"
"09/09/2018","00:49:00","28","120"
"09/09/2018","00:49:00","29","142"
"09/09/2018","00:49:00","30","117"
"09/09/2018","00:49:00","31","165"
"09/09/2018","00:49:00","32","185"
"09/09/2018","00:49:00","34","138"
"09/09/2018","00:50:00","1","243"
"09/09/2018","00:50:00","4","176"
"09/09/2018","00:50:00","5","72"
"09/09/2018","00:50:00","6","81"
"09/09/2018","00:50:00","7","93"
"09/09/2018","00:50:00","8","121"
"09/09/2018","00:50:00","9","184"
"09/09/2018","00:50:00","10","100"
"09/09/2018","00:50:00","11","99"
"09/09/2018","00:50:00","12","113"
"09/09/2018","00:50:00","13","149"
"09/09/2018","00:50:00","14","111"
"09/09/2018","00:50:00","15","73"
"09/09/2018","00:50:00","16","297"
"09/09/2018","00:50:00","17","57"
"09/09/2018","00:50:00","19","105"
"09/09/2018","00:50:00","20","86"
"09/09/2018","00:50:00","21","92"
"09/09/2018","00:50:00","22","76"
"09/09/2018","00:50:00","24","86"
"09/09/2018","00:50:00","25","130"
"09/09/2018","00:50:00","26","104"
"09/09/2018","00:50:00","27","92"
"09/09/2018","00:50:00","28","120"
"09/09/2018","00:50:00","29","127"
"09/09/2018","00:50:00","30","129"
"09/09/2018","00:50:00","31","165"
"09/09/2018","00:50:00","32","174"
"09/09/2018","00:50:00","34","131"
"09/09/2018","00:51:00","1","229"
"09/09/2018","00:51:00","4","228"
"09/09/2018","00:51:00","5","72"
"09/09/2018","00:51:00","6","88"
"09/09/2018","00:51:00","7","96"
"09/09/2018","00:51:00","8","151"
"09/09/2018","00:51:00","9","203"
"09/09/2018","00:51:00","10","108"
"09/09/2018","00:51:00","11","93"
"09/09/2018","00:51:00","12","110"
"09/09/2018","00:51:00","13","156"
"09/09/2018","00:51:00","14","110"
"09/09/2018","00:51:00","15","73"
"09/09/2018","00:51:00","16","262"
"09/09/2018","00:51:00","17","56"
"09/09/2018","00:51:00","19","101"
"09/09/2018","00:51:00","20","86"
"09/09/2018","00:51:00","21","81"
"09/09/2018","00:51:00","22","77"
"09/09/2018","00:51:00","24","80"
"09/09/2018","00:51:00","25","133"
"09/09/2018","00:51:00","26","106"
"09/09/2018","00:51:00","27","84"
"09/09/2018","00:51:00","28","105"
"09/09/2018","00:51:00","29","118"
"09/09/2018","00:51:00","30","127"
"09/09/2018","00:51:00","31","165"
"09/09/2018","00:51:00","32","167"
"09/09/2018","00:51:00","34","130"
"09/09/2018","00:52:00","1","193"
"09/09/2018","00:52:00","4","239"
"09/09/2018","00:52:00","5","69"
"09/09/2018","00:52:00","6","95"
"09/09/2018","00:52:00","7","97"
"09/09/2018","00:52:00","8","204"
"09/09/2018","00:52:00","9","201"
"09/09/2018","00:52:00","10","115"
"09/09/2018","00:52:00","11","102"
"09/09/2018","00:52:00","12","123"
"09/09/2018","00:52:00","13","151"
"09/09/2018","00:52:00","14","112"
"09/09/2018","00:52:00","15","76"
"09/09/2018","00:52:00","16","271"
"09/09/2018","00:52:00","17","56"
"09/09/2018","00:52:00","19","94"
"09/09/2018","00:52:00","20","87"
"09/09/2018","00:52:00","21","77"
"09/09/2018","00:52:00","22","77"
"09/09/2018","00:52:00","24","94"
"09/09/2018","00:52:00","25","152"
"09/09/2018","00:52:00","26","107"
"09/09/2018","00:52:00","27","97"
"09/09/2018","00:52:00","28","101"
"09/09/2018","00:52:00","29","118"
"09/09/2018","00:52:00","30","114"
"09/09/2018","00:52:00","31","150"
"09/09/2018","00:52:00","32","160"
"09/09/2018","00:52:00","34","129"
"09/09/2018","00:53:00","1","330"
"09/09/2018","00:53:00","4","258"
"09/09/2018","00:53:00","5","71"
"09/09/2018","00:53:00","6","99"
"09/09/2018","00:53:00","7","95"
