"Event Date","Event Time","Tower Measurement Location","Height","Time Interval","Avg Wind Direction","Avg Wind Speed","Peak Wind Direction","Peak Wind Speed","Peak Wind Direction 10 Min","Peak Wind Speed 10 Min","Deviation","Temp","Temperature Difference","Dew Point","Relative Humidity","Barometric Pressure"
"03/14/2021","06:05:00","0002 NW  SE","6","5","","","","","","","","55.0","","54.7","99",""
"03/14/2021","06:05:00","0002 NW  SE","12","5","355","1","0","2","0","2","19","","","","",""
"03/14/2021","06:05:00","0002 NW  SE","54","5","53","5","52","6","52","6","3","65.5","10.5","60.9","85",""
"03/14/2021","06:05:00","0002 NW  SE","90","5","57","6","57","7","59","7","2","","","","",""
"03/14/2021","06:05:00","0002 NW  SE","145","5","69","6","69","7","64","8","2","","","","",""
"03/14/2021","06:05:00","0002 NW  SE","204","5","81","6","82","6","74","7","2","68.0","","58.3","71",""
"03/14/2021","06:05:00","0006 NW  SE","6","5","","","","","","","","52.3","","51.5","97",""
"03/14/2021","06:05:00","0006 NW  SE","12","5","0","0","0","0","0","0","25","","","","",""
"03/14/2021","06:05:00","0006 NW  SE","54","5","64","3","56","4","59","4","7","65.4","13.1","60.8","85",""
"03/14/2021","06:05:00","0006 NW  SE","162","5","68","7","66","7","62","7","3","","","","",""
"03/14/2021","06:05:00","0006 NW  SE","204","5","78","6","76","6","72","7","3","67.5","","57.4","70",""
"03/14/2021","06:05:00","SLC 40","150","5","","","","","","","","","","","",""
"03/14/2021","06:05:00","SLC 40","151","5","","","","","","","","","","","",""
"03/14/2021","06:05:00","SLC 40","152","5","","","","","","","","","","","",""
"03/14/2021","06:05:00","SLC 41","50","5","","","","","","","","","","","",""
"03/14/2021","06:05:00","SLC 41","51","5","","","","","","","","","","","",""
"03/14/2021","06:05:00","SLC 41","230","5","","","","","","","","","","","",""
"03/14/2021","06:05:00","SLC 41","231","5","","","","","","","","","","","",""
"03/14/2021","06:05:00","0110 NW  SE","6","5","","","","","","","","62.2","","61.9","99",""
"03/14/2021","06:05:00","0110 NW  SE","12","5","63","2","64","2","64","2","11","","","","",""
"03/14/2021","06:05:00","0110 NW  SE","54","5","71","3","70","3","82","3","7","66.0","3.8","63.9","93",""
"03/14/2021","06:05:00","0110 NW  SE","162","5","60","5","67","6","67","6","3","","","","",""
"03/14/2021","06:05:00","0110 NW  SE","204","5","86","4","80","5","83","6","2","68.1","","58.0","70",""
"03/14/2021","06:05:00","0313 NE  SW","6","5","","","","","","","","52.2","","50.2","93","1022.0"
"03/14/2021","06:05:00","0313 NE  SW","12","5","0","0","0","0","0","0","45","","","","",""
"03/14/2021","06:05:00","0313 NE  SW","54","5","100","4","97","4","95","5","7","64.6","12.4","61.3","89",""
"03/14/2021","06:05:00","0313 NE  SW","162","5","97","7","98","7","98","7","5","","","","",""
"03/14/2021","06:05:00","0313 NE  SW","204","5","102","7","100","7","100","7","6","67.8","","58.1","71",""
"03/14/2021","06:05:00","0313 NE  SW","295","5","","","","","","","","","","","",""
"03/14/2021","06:05:00","0313 NE  SW","394","5","134","15","135","16","135","16","6","","","","",""
"03/14/2021","06:05:00","0313 NE  SW","492","5","","","","","","","","","","","69",""
"03/14/2021","06:05:00","0002 SE  SE","6","5","","","","","","","","56.3","","55.2","96",""
"03/14/2021","06:05:00","0002 SE  SE","12","5","356","2","0","2","0","2","20","","","","",""
