"Event Date","Event Time","Altitude","Wind Direction","Wind Speed","Wind Shear","WW","S1","S2","S3","N1","N2","N3","WID1","WID2","WID3","G1","G2","QC"
"08/18/2017","08:29:00","1795","194","1.3","0.000","-0.03","104.0","114.3","111.7","57.0","57.1","57.1","0.40","0.40","0.40","0","0","0"
"08/18/2017","08:29:00","1944","191","1.2","0.001","-0.03","102.5","110.8","108.4","56.9","57.0","57.0","0.40","0.40","0.39","0","0","0"
"08/18/2017","08:29:00","2093","194","1.2","0.001","-0.02","106.1","112.7","110.6","56.8","56.8","56.8","0.40","0.40","0.41","0","0","0"
"08/18/2017","08:29:00","2243","183","1.3","0.002","-0.05","107.9","116.6","114.2","57.1","57.1","57.1","0.50","0.40","0.43","0","0","0"
"08/18/2017","08:29:00","2392","176","1.7","0.003","-0.03","108.9","114.7","112.7","57.9","58.0","58.0","0.50","0.40","0.46","0","0","0"
"08/18/2017","08:29:00","2542","189","1.7","0.003","-0.03","110.0","117.8","115.5","58.7","58.6","58.7","0.50","0.40","0.44","0","0","0"
"08/18/2017","08:29:00","2691","175","1.9","0.003","-0.04","119.4","120.2","119.8","59.5","59.4","59.4","0.50","0.50","0.46","0","0","0"
"08/18/2017","08:29:00","2841","177","2.2","0.002","-0.08","124.2","123.6","123.9","59.7","59.6","59.7","0.40","0.50","0.43","0","0","0"
"08/18/2017","08:29:00","2990","166","2.3","0.003","-0.03","120.0","120.4","120.2","59.7","59.6","59.6","0.40","0.40","0.42","0","0","0"
"08/18/2017","08:29:00","3140","160","2.5","0.002","-0.02","113.6","112.0","112.9","59.7","59.6","59.7","0.40","0.40","0.40","0","0","0"
"08/18/2017","08:29:00","3289","164","1.9","0.004","-0.08","113.5","110.5","112.3","59.6","59.6","59.6","0.40","0.50","0.43","0","0","0"
"08/18/2017","08:29:00","3439","158","1.2","0.005","-0.01","117.3","105.2","114.6","59.6","59.6","59.6","0.40","0.40","0.43","0","0","0"
"08/18/2017","08:29:00","3588","154","1.0","0.001","-0.02","118.9","103.4","116.0","59.6","59.7","59.6","0.40","0.50","0.44","0","0","0"
"08/18/2017","08:29:00","3737","106","1.1","0.006","-0.01","113.3","106.3","111.1","59.6","59.7","59.6","0.40","0.50","0.46","0","0","0"
