"Event Date","Event Time","Tower Measurement Location","Height","Time Interval","Avg Wind Direction","Avg Wind Speed","Peak Wind Direction","Peak Wind Speed","Peak Wind Direction 10 Min","Peak Wind Speed 10 Min","Deviation","Temp","Temperature Difference","Dew Point","Relative Humidity","Barometric Pressure"
"04/01/2022","12:30:00","SLC 40","152","5","","","","","","","","","","","",""
"04/01/2022","12:30:00","SLC 41","50","5","182","4","174","6","174","6","28","","","","",""
"04/01/2022","12:30:00","SLC 41","51","5","185","4","172","6","172","6","29","","","","",""
"04/01/2022","12:30:00","SLC 41","230","5","210","6","194","8","194","8","12","","","","",""
"04/01/2022","12:30:00","SLC 41","231","5","219","6","230","7","235","8","13","","","","",""
"04/01/2022","12:30:00","0110 NW  SE","6","5","","","","","","","","70.4","","70.1","99",""
"04/01/2022","12:30:00","0110 NW  SE","12","5","172","2","169","5","169","5","36","","","","",""
"04/01/2022","12:30:00","0110 NW  SE","54","5","250","1","218","6","218","6","33","71.3","0.9","71.3","100",""
"04/01/2022","12:30:00","0110 NW  SE","162","5","195","8","188","12","188","12","16","","","","",""
"04/01/2022","12:30:00","0110 NW  SE","204","5","190","8","181","12","181","12","16","70.5","","70.2","99",""
"04/01/2022","12:30:00","0313 NE  SW","6","5","","","","","","","","70.2","","69.9","99","1014.2"
"04/01/2022","12:30:00","0313 NE  SW","12","5","156","1","169","2","169","2","26","","","","",""
"04/01/2022","12:30:00","0313 NE  SW","54","5","175","3","170","4","170","4","14","70.4","0.2","70.1","99",""
"04/01/2022","12:30:00","0313 NE  SW","162","5","198","6","203","7","213","9","7","","","","",""
"04/01/2022","12:30:00","0313 NE  SW","204","5","207","7","211","9","216","9","7","71.6","","71.6","100",""
"04/01/2022","12:30:00","0313 NE  SW","295","5","","","","","","","","","","","",""
"04/01/2022","12:30:00","0313 NE  SW","394","5","217","7","215","7","242","7","6","","","","",""
"04/01/2022","12:30:00","0313 NE  SW","492","5","","","","","","","","","","","98",""
"04/01/2022","12:30:00","0006 SE  SE","6","5","","","","","","","","70.2","","69.9","99",""
"04/01/2022","12:30:00","0006 SE  SE","12","5","181","2","183","6","162","6","55","","","","",""
"04/01/2022","12:30:00","0006 SE  SE","54","5","192","5","214","8","191","9","50","69.6","-0.6","69.3","99",""
"04/01/2022","12:30:00","0006 SE  SE","162","5","209","8","214","12","214","12","48","","","","",""
"04/01/2022","12:30:00","0006 SE  SE","204","5","215","8","209","12","209","12","43","69.4","","69.1","99",""
"04/01/2022","12:30:00","0110 SE  SE","6","5","","","","","","","","71.1","","","",""
"04/01/2022","12:30:00","0110 SE  SE","12","5","173","2","160","5","160","5","34","","","","",""
