"Julian Day","Event Date","Event Time","Rain Gauge","Inches","IsActive"
"22163","06/12/2022","16:33:33","30","0.01","True"
"22163","06/12/2022","17:02:48","22","0.01","True"
"22163","06/12/2022","17:03:53","22","0.01","True"
"22163","06/12/2022","17:13:52","20","0.01","True"
