"Event Date","Event Time","Mill Number","One Minute Mean"
"04/29/2022","17:27:00","1","61"
"04/29/2022","17:27:00","2","36"
"04/29/2022","17:27:00","4","45"
"04/29/2022","17:27:00","5","28"
"04/29/2022","17:27:00","6","36"
"04/29/2022","17:27:00","7","31"
"04/29/2022","17:27:00","8","46"
"04/29/2022","17:27:00","9","43"
"04/29/2022","17:27:00","10","38"
"04/29/2022","17:27:00","11","33"
"04/29/2022","17:27:00","12","45"
"04/29/2022","17:27:00","14","47"
"04/29/2022","17:27:00","15","27"
"04/29/2022","17:27:00","16","43"
"04/29/2022","17:27:00","17","34"
"04/29/2022","17:27:00","18","31"
"04/29/2022","17:27:00","19","40"
"04/29/2022","17:27:00","20","32"
"04/29/2022","17:27:00","21","23"
"04/29/2022","17:27:00","22","22"
"04/29/2022","17:27:00","24","38"
"04/29/2022","17:27:00","25","43"
"04/29/2022","17:27:00","26","49"
"04/29/2022","17:27:00","28","49"
"04/29/2022","17:27:00","29","45"
"04/29/2022","17:27:00","30","47"
"04/29/2022","17:27:00","31","41"
"04/29/2022","17:27:00","32","45"
"04/29/2022","17:27:00","34","48"
"04/29/2022","17:27:00","35","49"
"04/29/2022","17:28:00","1","64"
"04/29/2022","17:28:00","2","35"
"04/29/2022","17:28:00","4","48"
"04/29/2022","17:28:00","5","26"
"04/29/2022","17:28:00","6","41"
"04/29/2022","17:28:00","7","32"
"04/29/2022","17:28:00","8","44"
"04/29/2022","17:28:00","9","44"
"04/29/2022","17:28:00","10","40"
"04/29/2022","17:28:00","11","37"
"04/29/2022","17:28:00","12","40"
"04/29/2022","17:28:00","14","49"
"04/29/2022","17:28:00","15","31"
"04/29/2022","17:28:00","16","49"
"04/29/2022","17:28:00","17","34"
"04/29/2022","17:28:00","18","29"
"04/29/2022","17:28:00","19","36"
"04/29/2022","17:28:00","20","33"
"04/29/2022","17:28:00","21","26"
"04/29/2022","17:28:00","22","25"
"04/29/2022","17:28:00","24","40"
"04/29/2022","17:28:00","25","48"
"04/29/2022","17:28:00","26","47"
"04/29/2022","17:28:00","28","47"
"04/29/2022","17:28:00","29","42"
"04/29/2022","17:28:00","30","43"
"04/29/2022","17:28:00","31","51"
"04/29/2022","17:28:00","32","42"
"04/29/2022","17:28:00","34","45"
"04/29/2022","17:28:00","35","41"
"04/29/2022","17:29:00","1","59"
"04/29/2022","17:29:00","2","39"
"04/29/2022","17:29:00","4","50"
"04/29/2022","17:29:00","5","26"
"04/29/2022","17:29:00","6","44"
"04/29/2022","17:29:00","7","32"
"04/29/2022","17:29:00","8","39"
"04/29/2022","17:29:00","9","45"
"04/29/2022","17:29:00","10","33"
"04/29/2022","17:29:00","11","36"
"04/29/2022","17:29:00","12","37"
"04/29/2022","17:29:00","14","45"
"04/29/2022","17:29:00","15","33"
"04/29/2022","17:29:00","16","47"
"04/29/2022","17:29:00","17","35"
"04/29/2022","17:29:00","18","29"
"04/29/2022","17:29:00","19","32"
"04/29/2022","17:29:00","20","32"
"04/29/2022","17:29:00","21","25"
"04/29/2022","17:29:00","22","25"
"04/29/2022","17:29:00","24","39"
"04/29/2022","17:29:00","25","55"
"04/29/2022","17:29:00","26","49"
"04/29/2022","17:29:00","28","41"
"04/29/2022","17:29:00","29","40"
"04/29/2022","17:29:00","30","49"
"04/29/2022","17:29:00","31","42"
"04/29/2022","17:29:00","32","42"
"04/29/2022","17:29:00","34","41"
"04/29/2022","17:29:00","35","42"
"04/29/2022","17:30:00","1","63"
"04/29/2022","17:30:00","2","42"
"04/29/2022","17:30:00","4","55"
"04/29/2022","17:30:00","5","29"
"04/29/2022","17:30:00","6","46"
